Country,Region/Island,Area,Business Name,Type,City/Island,Address,Website,Phone,Email,TripAdvisor URL,TA_Bubbles(5=Excellent),TA_Review_Count,Google_Stars_FirstParty,Google_Stars_Source_URL,Notes/Tags,Status,Last Checked (UTC),Contact_Source_URL
Mexico,Jalisco – Puerto Vallarta,Puerto Vallarta,Pacific Scuba Vallarta,Operator (Scuba Charter),Puerto Vallarta,,https://www.pacificscubavallarta.com/,,,,,,,,,Mexico Wave 3 Add,2025-08-14 00:58:06 UTC,
Mexico,Jalisco – Puerto Vallarta,Puerto Vallarta,Silent World Divers PV,Operator (Scuba Charter),Puerto Vallarta,,https://silentworlddivers.com/,,,,,,,,,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,
Mexico,Jalisco – Puerto Vallarta,Puerto Vallarta,Vallarta Undersea,Operator (Scuba Charter),Puerto Vallarta,,https://vallartaundersea.com/,,,,,,,,,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,
Mexico,Liveaboards – Socorro / Sea of Cortez,Homeport: Cabo San Lucas,Nautilus Liveaboards,Liveaboard,Homeport: Cabo San Lucas,,https://nautilusliveaboards.com/,,,,,,,,Belle Amie / Explorer / Gallant Lady,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,
Mexico,Liveaboards – Socorro / Sea of Cortez,Homeport: La Paz/Cabo,MV Valentina (Fun Azul Fleet),Liveaboard,Homeport: La Paz/Cabo,,https://www.fun-azulfleet.net/valentina/,,,,,,,,,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,
Mexico,Liveaboards – Socorro / Sea of Cortez,Homeport: Puerto Peñasco,Quino el Guardian Liveaboard,Liveaboard,Homeport: Puerto Peñasco,,https://www.quinoelguardian.com/,,,,,,,,,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,
Mexico,Liveaboards – Socorro / Sea of Cortez,Homeport: Puerto Peñasco/La Paz,Rocio del Mar Liveaboard,Liveaboard,Homeport: Puerto Peñasco/La Paz,,https://www.rociodelmarliveaboard.com/,,,,,,,,,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,
Mexico,Nayarit – Riviera Nayarit,Punta Mita / La Cruz,Punta Mita Expeditions (Scuba),Operator (Scuba Charter),Punta Mita / La Cruz,,https://puntamitaexpeditions.com/,,,,,,,,Scuba offering in addition to ocean tours,Mexico Wave 4 Add,2025-08-14 01:06:02 UTC,
Mexico,Nayarit – Sayulita / Riviera Nayarit,Sayulita / Riviera Nayarit,Sayulita Entourage (Scuba),Operator (Scuba Charter),Sayulita / Riviera Nayarit,,https://www.sayulitaentourage.com/dive-center,,,https://www.tripadvisor.in/Attraction_Review-g445056-d2343651-Reviews-Sayulita_Entourage-Sayulita_Pacific_Coast.html,,,,,,Mexico Wave 6 Add,2025-08-14 01:27:59 UTC,
Mexico,Oaxaca – Huatulco,Bahías de Huatulco,Buceo Scuba Huatulco,Operator (Scuba Charter),Bahías de Huatulco,,https://buceohuatulco.com/,,,,,,,,,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,
Mexico,Oaxaca – Huatulco,Bahías de Huatulco,Huatulco Dive Center,Operator (Scuba Charter),Bahías de Huatulco,,https://www.huatulcodivecenter.com/,,,,,,,,,Mexico Wave 2 Add,2025-08-14 00:53:00 UTC,
Mexico,Oaxaca – Huatulco,Bahías de Huatulco,Hurricane Divers Huatulco,Operator (Scuba Charter),Bahías de Huatulco,,https://hurricanedivers.com/,,,,,,,,,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,
Mexico,Oaxaca – Puerto Escondido,Puerto Escondido,Big Wave Diving (Puerto Escondido),Operator (Scuba Charter),Puerto Escondido,,http://www.puertoescondidodivecentre.com,,,,,,,,,Mexico Wave 6 Add,2025-08-14 01:27:59 UTC,
Mexico,Oaxaca – Puerto Escondido,Puerto Escondido,Deep Blue Dive Puerto Escondido,Operator (Scuba Charter),Puerto Escondido,,https://www.deepbluedivemexico.com/,,,,,,,,,Mexico Wave 6 Add,2025-08-14 01:27:59 UTC,
Mexico,Quintana Roo – Akumal,Akumal,Akumal Dive Center,Operator (Scuba Charter),Akumal,"Carretera Cancún - Chetumal km 104, Akumal, Tulum, Quintana Roo, Mexico",https://www.akumaldivecenter.com/,+52 984 151 8775,dive@akumaldivecenter.com,https://www.tripadvisor.co.nz/ShowUserReviews-g499445-d1195215-Akumal_Dive_Center-Akumal_Yucatan_Peninsula.html,,,,,,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,https://www.akumaldivecenter.com/contact/
Mexico,Quintana Roo – Akumal,Akumal,Akumal Dive Shop,Operator (Scuba Charter),Akumal,"Akumal, Riviera Maya, Quintana Roo, Mexico",https://akumaldiveshop.com/,+52 984 875 9031; +52 984 310 6875,sales@akumaldiveshop.com,https://en.tripadvisor.com.hk/ShowUserReviews-g499445-d1229375-Akumal_Dive_Shop-Akumal_Yucatan_Peninsula.html,,,,,,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,https://akumaldiveshop.com/contact-us/
Mexico,Quintana Roo – Akumal,Akumal,Blue Experience Diving (Akumal),Operator (Scuba Charter),Akumal,,https://blueexperiencediving.com/,,,,,,,,,Mexico Wave 2 Add,2025-08-14 00:53:00 UTC,
Mexico,Quintana Roo – Cancun,Cancún,Scuba Cancun,Operator (Scuba Charter),Cancún,"Kukulcán Blvd. Km 5, Zona Hotelera, Cancún, Quintana Roo, Mexico",https://www.scubacancun.com.mx/,+52 998 849 7508; +52 998 849 4736; +52 998 849 5226; +52 998 849 5225,,https://en.tripadvisor.com.hk/Attraction_Review-g150807-d640585-Reviews-Scuba_Cancun-Cancun_Yucatan_Peninsula.html,,,,,,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,https://scubacancun.com.mx/contact/
Mexico,Quintana Roo – Cancún,Cancún,Aquaworld (Scuba),Operator (Scuba Charter),Cancún,,https://aquaworld.com.mx/en/scuba-diving/,,,https://en.tripadvisor.com.hk/ShowUserReviews-g150807-d153998-AquaWorld-Cancun_Yucatan_Peninsula.html,,,,,Explicit scuba program,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,
Mexico,Quintana Roo – Cancún,Cancún,Cancun Diving Adventures,Operator (Scuba Charter),Cancún,,https://www.cancundivingadventures.com/,,,,,,,,,Mexico Wave 4 Add,2025-08-14 01:06:02 UTC,
Mexico,Quintana Roo – Cancún,Cancún,Cancun Scuba Center,Operator (Scuba Charter),Cancún,,https://cancunscubacenter.com/,,,,,,,,,Mexico Wave 2 Add,2025-08-14 00:53:00 UTC,
Mexico,Quintana Roo – Cancún,Cancún,Cancun Scuba Crew,Operator (Scuba Charter),Cancún,,https://www.cancunscubacrew.com/,,,,,,,,,Mexico Wave 4 Add,2025-08-14 01:06:02 UTC,
Mexico,Quintana Roo – Cancún,Cancún,Coconut Divers,Operator (Scuba Charter),Cancún,,https://coconutdivers.com/,,,,,,,,,Mexico Wave 3 Add,2025-08-14 00:58:06 UTC,
Mexico,Quintana Roo – Cancún,Cancún,Manta Divers Cancun,Operator (Scuba Charter),Cancún,,https://mantadivers.com/,,,https://www.tripadvisor.com.ph/ShowUserReviews-g150807-d1410170-Manta_Divers-Cancun_Yucatan_Peninsula.html,,,,,,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,
Mexico,Quintana Roo – Cancún,Cancún,Scuba Total Cancun,Operator (Scuba Charter),Cancún,,https://www.scubatotal.com/,,,,,,,,,Mexico Wave 4 Add,2025-08-14 01:06:02 UTC,
Mexico,Quintana Roo – Cancún,Cancún,Solo Buceo,Operator (Scuba Charter),Cancún,,https://www.solobuceo.com/,,,https://www.tripadvisor.co.nz/ShowUserReviews-g150807-d1414939-Solo_Buceo_Dive_Shop-Cancun_Yucatan_Peninsula.html,,,,,,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,
Mexico,Quintana Roo – Cancún,Cancún,Squalo Divers (Cancún),Operator (Scuba Charter),Cancún,,https://www.squalodivers.com/,,,,,,,,,Mexico Wave 3 Add,2025-08-14 00:58:06 UTC,
Mexico,Quintana Roo – Cancún,Cancún,Total Scuba Cancun,Operator (Scuba Charter),Cancún,,https://totalscuba.com.mx/,,,,,,,,,Mexico Wave 3 Add,2025-08-14 00:58:06 UTC,
Mexico,Quintana Roo – Cozumel,Cozumel,Blue Angel Resort – Dive Shop,Dive Shop,Cozumel,"Carretera Costera Sur Km. 2.2, Cozumel, Quintana Roo, 77600, Mexico",https://www.blueangelresort.com/,+52 987 876 6865,,,,,,,Resort-based dive op,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,https://www.blueangelresort.com/
Mexico,Quintana Roo – Cozumel,Cozumel,Cozumel Dive Academy,Dive Shop,Cozumel,,https://cozumeldiveacademy.com/,,,,,,,,Training + guided diving,Mexico Wave 4 Add,2025-08-14 01:06:02 UTC,
Mexico,Quintana Roo – Cozumel,Cozumel,Dressel Divers (Cozumel),Dive Shop,Cozumel,,https://www.dresseldivers.com/dive/mexico/cozumel-scuba-diving/,,,,,,,,,Mexico Wave 5 Add,2025-08-14 01:20:26 UTC,
Mexico,Quintana Roo – Cozumel,Cozumel,Pro Dive International (Occidental Cozumel),Dive Shop,Cozumel,,https://www.prodiveinternational.com/dive-center/occidental/,,,,,,,,,Mexico Wave 5 Add,2025-08-14 01:20:26 UTC,
Mexico,Quintana Roo – Cozumel,Cozumel,Aldora Divers,Operator (Scuba Charter),Cozumel,"Calle 5 Sur #37, Centro, 77600 Cozumel, Quintana Roo, Mexico",https://aldora.com/,+52 987 872 3397,frontdesk@aldora.com,https://www.tripadvisor.co/ShowUserReviews-g150809-d536616-Aldora_Divers-Cozumel_Yucatan_Peninsula.html,,,,,"Steel HP tanks, long dives",Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,https://www.aldora.com/elearning-scuba-cozumel
Mexico,Quintana Roo – Cozumel,Cozumel,Aldora Villas Dive Center,Operator (Scuba Charter),Cozumel,,https://aldora.com/,,,,,,,,Associated with Aldora lodging,Mexico Wave 4 Add,2025-08-14 01:06:02 UTC,
Mexico,Quintana Roo – Cozumel,Cozumel,Aqua Safari Cozumel,Operator (Scuba Charter),Cozumel,,https://www.aquasafari.com/,,,,,,,,,Mexico Wave 2 Add,2025-08-14 00:53:00 UTC,
Mexico,Quintana Roo – Cozumel,Cozumel,Blue Magic Scuba,Operator (Scuba Charter),Cozumel,"Calle 4 Norte #71, Entre Rafael E. Melgar y 5a Av., 77600 Cozumel, Quintana Roo, Mexico",https://bluemagicscuba.com/,+52 987 105 4418,godive@bluemagicscuba.com,https://en.tripadvisor.com.hk/ShowUserReviews-g150809-d1553620-Blue_Magic_Scuba-Cozumel_Yucatan_Peninsula.html,,,,,,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,https://www.padi.com/dive-center/mexico/blue-magic-scuba/
Mexico,Quintana Roo – Cozumel,Cozumel,Blue Project Cozumel,Operator (Scuba Charter),Cozumel,,https://www.blueprojectcozumel.com/,,,,,,,,,Mexico Wave 3 Add,2025-08-14 00:58:06 UTC,
Mexico,Quintana Roo – Cozumel,Cozumel,Blue XT~Sea Diving,Operator (Scuba Charter),Cozumel,,https://www.bluextseadiving.com/,,,https://www.tripadvisor.co.uk/ShowUserReviews-g150809-d1474433-Blue_XT_Sea_Diving-Cozumel_Yucatan_Peninsula.html,,,,,,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,
Mexico,Quintana Roo – Cozumel,Cozumel,Cozumel H2O,Operator (Scuba Charter),Cozumel,,https://www.cozumelh2o.com/,,,,,,,,,Mexico Wave 3 Add,2025-08-14 00:58:06 UTC,
Mexico,Quintana Roo – Cozumel,Cozumel,Cozumel Marine World,Operator (Scuba Charter),Cozumel,,https://cozumelmarineworld.com/,,,https://www.tripadvisor.ie/ShowUserReviews-g150809-d2172591-Cozumel_Marine_World-Cozumel_Yucatan_Peninsula.html,,,,,,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,
Mexico,Quintana Roo – Cozumel,Cozumel,Cozumel Scuba Planet,Operator (Scuba Charter),Cozumel,,https://www.cozumelscubaplanet.com/,,,,,,,,,Mexico Wave 2 Add,2025-08-14 00:53:00 UTC,
Mexico,Quintana Roo – Cozumel,Cozumel,Deep Blue Cozumel,Operator (Scuba Charter),Cozumel,,https://deepbluecozumel.com/,,,https://en.tripadvisor.com.hk/ShowUserReviews-g150809-d668610-Deep_Blue_Scuba_Diving-Cozumel_Yucatan_Peninsula.html,,,,,,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,
Mexico,Quintana Roo – Cozumel,Cozumel,Deep Exposure Advanced Dives,Operator (Scuba Charter),Cozumel,,https://deepexposure.com/,,,,,,,,Tech/advanced profiles,Mexico Wave 2 Add,2025-08-14 00:53:00 UTC,
Mexico,Quintana Roo – Cozumel,Cozumel,Dive House Cozumel,Operator (Scuba Charter),Cozumel,,https://www.divehouse.com/,,,,,,,,,Mexico Wave 2 Add,2025-08-14 00:53:00 UTC,
Mexico,Quintana Roo – Cozumel,Cozumel,Dive Palancar,Operator (Scuba Charter),Cozumel,,https://www.divepalancar.com/,,,,,,,,,Mexico Wave 3 Add,2025-08-14 00:58:06 UTC,
Mexico,Quintana Roo – Cozumel,Cozumel,Dive Paradise,Operator (Scuba Charter),Cozumel,"Kilometro 1.7, Carretera Costera Sur, across from Wyndham Cozumel Hotel & Resort, 77600 San Miguel de Cozumel, Quintana Roo, Mexico",https://diveparadise.com/,+1 954 743 5310; +1 855 798 5300; +52 987 101 8585,reservations@diveparadise.com,https://www.tripadvisor.co.nz/ShowUserReviews-g150809-d265242-Dive_Paradise-Cozumel_Yucatan_Peninsula.html,,,,,,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,https://diveparadise.com/contact-dive-paradise/
Mexico,Quintana Roo – Cozumel,Cozumel,Dive with Cristina,Operator (Scuba Charter),Cozumel,,https://divewithcristina.com/,,,https://en.tripadvisor.com.hk/Attraction_Review-g150809-d1149151-Dive_with_Cristina-Cozumel_Yucatan_Peninsula.html,,,,,,Mexico Wave 5 Add,2025-08-14 01:20:26 UTC,
Mexico,Quintana Roo – Cozumel,Cozumel,Dive with Martin,Operator (Scuba Charter),Cozumel,,https://divewithmartin.com/,,,,,,,,,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,
Mexico,Quintana Roo – Cozumel,Cozumel,Liquid Blue Divers,Operator (Scuba Charter),Cozumel,,https://liquidbluedivers.com/,,,,,,,,,Mexico Wave 3 Add,2025-08-14 00:58:06 UTC,
Mexico,Quintana Roo – Cozumel,Cozumel,Living Underwater,Operator (Scuba Charter),Cozumel,,https://www.living-underwater.com/,,,https://www.tripadvisor.co.nz/ShowUserReviews-g150809-d643433-Living_Underwater-Cozumel_Yucatan_Peninsula.html,,,,,,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,
Mexico,Quintana Roo – Cozumel,Cozumel,Papa Hog’s Scuba Emporium,Operator (Scuba Charter),Cozumel,,https://papahogs.com/,,,,,,,,,Mexico Wave 2 Add,2025-08-14 00:53:00 UTC,
Mexico,Quintana Roo – Cozumel,Cozumel,Salty Endeavors Cozumel Scuba,Operator (Scuba Charter),Cozumel,,https://cozumelscuba.com/,,,https://en.tripadvisor.com.hk/AttractionProductReview-g150809-d11482647-Small_Group_Introductory_Scuba_Dive_in_Cozumel-Cozumel_Yucatan_Peninsula.html,,,,,,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,
Mexico,Quintana Roo – Cozumel,Cozumel,Sand Dollar Sports (Scuba),Operator (Scuba Charter),Cozumel,,https://www.sanddollarsports.com/,,,,,,,,Resort-based; explicit scuba program,Mexico Wave 3 Add,2025-08-14 00:58:06 UTC,
Mexico,Quintana Roo – Cozumel,Cozumel,Scuba Club Cozumel – Dive Op,Operator (Scuba Charter),Cozumel,,https://www.scubaclubcozumel.com/,,,,,,,,Resort-based dive operation,Mexico Wave 2 Add,2025-08-14 00:53:00 UTC,
Mexico,Quintana Roo – Cozumel,Cozumel,Scuba Du,Operator (Scuba Charter),Cozumel,,https://www.scubadu.com/,(987) 872-9505,scubadu@usa.net,https://www.tripadvisor.co.nz/ShowUserReviews-g150809-d1395285-Scuba_Du-Cozumel_Yucatan_Peninsula.html,,,,,,Mexico Wave 5 Add,2025-08-14 01:20:26 UTC,
Mexico,Quintana Roo – Cozumel,Cozumel,Scuba Life Cozumel,Operator (Scuba Charter),Cozumel,,https://scubalifecozumel.com/,,,https://www.tripadvisor.co.nz/ShowUserReviews-g13882869-d8469486-Scuba_Life_Cozumel-San_Miguel_de_Cozumel_Cozumel_Yucatan_Peninsula.html,,,,,,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,
Mexico,Quintana Roo – Cozumel,Cozumel,Scuba Mau,Operator (Scuba Charter),Cozumel,,https://scubamau.com/,,,,,,,,,Mexico Wave 4 Add,2025-08-14 01:06:02 UTC,
Mexico,Quintana Roo – Cozumel,Cozumel,Scuba Shack Cozumel,Operator (Scuba Charter),Cozumel,,https://scubashackcoz.com/,,,,,,,,,Mexico Wave 6 Add,2025-08-14 01:27:59 UTC,
Mexico,Quintana Roo – Cozumel,Cozumel,Scuba with Alison,Operator (Scuba Charter),Cozumel,,https://www.scubawithalison.com/,,,,,,,,,Mexico Wave 3 Add,2025-08-14 00:58:06 UTC,
Mexico,Quintana Roo – Cozumel,Cozumel,ScubaTony,Operator (Scuba Charter),Cozumel,,https://scubatony.com/,,info@scubatony.com,https://en.tripadvisor.com.hk/ShowUserReviews-g150809-d1079235-ScubaTony_Cozumel-Cozumel_Yucatan_Peninsula.html,,,,,,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,https://scubatony.com/bookings.aspx
Mexico,Quintana Roo – Cozumel,Cozumel,Tres Pelicanos,Operator (Scuba Charter),Cozumel,"Calle 5 Sur entre Ave Rafael Melgar y 5th Ave #400B, Centro, 77600 San Miguel de Cozumel, Q.R., Mexico",https://trespelicanos.com/,+52 987 869 1168,dive@trespelicanos.com,https://www.tripadvisor.co.nz/ShowUserReviews-g150809-d3485062-Tres_Pelicanos_Dive_Center-Cozumel_Yucatan_Peninsula.html,,,,,,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,https://trespelicanos.com/cozumel-scuba-diving-information/
Mexico,Quintana Roo – Isla Mujeres,Isla Mujeres,POCNA Dive Center (Isla Mujeres),Dive Shop,Isla Mujeres,,https://www.pocnadivecenter.com/,,,,,,,,,Mexico Wave 6 Add,2025-08-14 01:27:59 UTC,
Mexico,Quintana Roo – Isla Mujeres,Isla Mujeres,Carey Dive Center,Operator (Scuba Charter),Isla Mujeres,,https://www.careydiveonline.com/,,,https://www.tripadvisor.co.nz/ShowUserReviews-g150810-d658088-Carey_Dive_Center-Isla_Mujeres_Yucatan_Peninsula.html,,,,,,Mexico Wave 1 Seed,2025-08-14 00:46:44 UTC,
Mexico,Quintana Roo – Isla Mujeres,Isla Mujeres,DC Explorer Isla Mujeres,Operator (Scuba Charter),Isla Mujeres,,https://www.dcexplorerislamujeres.com/,,,,,,,,,Mexico Wave 4 Add,2025-08-14 01:06:02 UTC,
