Country,Name,Type,Atoll,Island/City,Business_Address,Website,Email,Phone,Explicit_Scuba,Verified_On,TA_URL,Google_Maps_URL,Sources,TA_Rating,TA_Reviews,Google_Rating,Google_Reviews,Ratings_AsOf,Rating_Notes
Maldives,Fulidhoo Dive & Water Sports,Land,Vaavu (Felidhoo),Fulidhoo,"Muraka Building, Beachside, Fulidhoo Island, Vaavu Atoll 10010, Maldives",https://www.fulidhoodive.com/,hello@fulidhoodive.com,+960 799-9351,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Fulidhoo+Dive+%26+Water+Sports+Maldives,https://www.google.com/maps/search/?api=1&query=Fulidhoo+Dive+%26+Water+Sports+Maldives,Operator site,5.0,69,4.9,174,2025-08-23,Google & TA counts via Wanderlog; verify on primary pages.
Maldives,Maafushi Dive & Watersports (Maafushi Dive Center),Land,Kaafu (South Malé),Maafushi,"Gulfaam Villa, K. Maafushi, 08090, Maldives",https://www.maafushidive.com/,info@maafushidive.com,+960 991-1116,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Maafushi+Dive+%26+Watersports+%28Maafushi+Dive+Center%29+Maldives,https://www.google.com/maps/search/?api=1&query=Maafushi+Dive+%26+Watersports+%28Maafushi+Dive+Center%29+Maldives,Operator site,,,4.7,301,2025-08-23,Google via Wanderlog; TA aggregate not captured reliably.
Maldives,Ocean Dimensions – Kihaa Maldives,Land,Baa,Kihaadhuffaru,"Kihaa Maldives Resort, Baa Atoll, Maldives",http://www.oceandimensions.com/,info@oceandimensions.com,+960 772-9972,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Ocean+Dimensions+%E2%80%93+Kihaa+Maldives+Maldives,https://www.google.com/maps/search/?api=1&query=Ocean+Dimensions+%E2%80%93+Kihaa+Maldives+Maldives,PADI / Operator,,,,,,
Maldives,Dive Butler – Amilla,Land,Baa,Amilla,"Amilla Maldives, Baa Atoll, Maldives",https://amilla.dive-butler.com/,silvio@amilla.com,+960 660-6499,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Dive+Butler+%E2%80%93+Amilla+Maldives,https://www.google.com/maps/search/?api=1&query=Dive+Butler+%E2%80%93+Amilla+Maldives,PADI / Operator,,,,,,
Maldives,TGI Alimatha Diving Center,Land,Vaavu (Felidhoo),Alimatha,"Alimatha Resort, Vaavu Atoll, Maldives",https://www.tgimaldives.com/alimatha/,alimatha@tgimaldives.com,+960 670-0575,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=TGI+Alimatha+Diving+Center+Maldives,https://www.google.com/maps/search/?api=1&query=TGI+Alimatha+Diving+Center+Maldives,Operator site,4.9,7,,,2025-08-23,TA Vaavu category page 4.9/7.
Maldives,Sea Star Diving – Thulusdhoo,Land,Kaafu (North Malé),Thulusdhoo,"Happy Park, Thulusdhoo, North Malé 08040, Maldives",http://www.seastarsdiving.com,seastarsdiving@gmail.com,+960 910-1313,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Sea+Star+Diving+%E2%80%93+Thulusdhoo+Maldives,https://www.google.com/maps/search/?api=1&query=Sea+Star+Diving+%E2%80%93+Thulusdhoo+Maldives,PADI / Operator,,37,,,2025-08-23,TA page shows 'Read all 37 reviews'; star agg not visible.
Maldives,Euro‑Divers – Kurumba,Land,Kaafu (North Malé),Vihamanaafushi (Kurumba),"Kurumba Maldives, North Malé Atoll 08340, Maldives",https://www.euro-divers.com/kurumba-maldives-dive-centre/,kurumba@euro-divers.com,+960 664-2324,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Euro%E2%80%91Divers+%E2%80%93+Kurumba+Maldives,https://www.google.com/maps/search/?api=1&query=Euro%E2%80%91Divers+%E2%80%93+Kurumba+Maldives,Operator site,4.8,168,4.8,18,2025-08-23,TA regional page 4.8/168; Google via Wanderlog.
Maldives,Euro‑Divers – Eriyadu,Land,Kaafu (North Malé),Eriyadu,"Eriyadu Island Resort, North Malé Atoll, Maldives",https://www.euro-divers.com/dive-centre-eriyadu-island-resort/,eriyadu@euro-divers.com,+960 790-3641,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Euro%E2%80%91Divers+%E2%80%93+Eriyadu+Maldives,https://www.google.com/maps/search/?api=1&query=Euro%E2%80%91Divers+%E2%80%93+Eriyadu+Maldives,Operator site,4.9,214,,,2025-08-23,TA regional page 4.9/214.
Maldives,Dive Kingdom International – Ayada,Land,Gaafu Dhaalu,Ayada (Magudhdhuvaa),"Ayada Maldives, Magudhdhuvaa, Gaafu Dhaalu Atoll, Maldives",http://www.divekingdom.com,info@divekingdom.com,+960 773-8369,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Dive+Kingdom+International+%E2%80%93+Ayada+Maldives,https://www.google.com/maps/search/?api=1&query=Dive+Kingdom+International+%E2%80%93+Ayada+Maldives,PADI / Operator,5.0,11,,,2025-08-23,TA regional page 5.0/11.
Maldives,Big Blue Divers – Rasdhoo,Land,Alif Alif (North Ari),Rasdhoo,"Ghazeemagu, Rasdhoo Island, Alif Alif (AA) Atoll, Maldives",https://www.bigbluediversmaldives.com/,bigbluediversrasdhoo@gmail.com,+960 977-4604,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Big+Blue+Divers+%E2%80%93+Rasdhoo+Maldives,https://www.google.com/maps/search/?api=1&query=Big+Blue+Divers+%E2%80%93+Rasdhoo+Maldives,PADI / Operator,5.0,22,5.0,75,2025-08-23,Google & TA via Wanderlog snapshot.
Maldives,Dive Bandos – Bandos Maldives,Land,Kaafu (North Malé),Bandos,"Bandos Maldives, North Malé Atoll, Maldives",https://bandosmaldives.com/diving/,resv@bandos.com.mv,+960 664-0088,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Dive+Bandos+%E2%80%93+Bandos+Maldives+Maldives,https://www.google.com/maps/search/?api=1&query=Dive+Bandos+%E2%80%93+Bandos+Maldives+Maldives,PADI / Resort site,,,,,2025-08-23,No dedicated TA dive-center page; resort-level reviews exist; not entered in center fields.
Maldives,Emperor Explorer,Liveaboard,Fleet,Malé (embarkation),Emperor Divers (HQ); Maldives embark: Malé,https://www.emperordivers.com/liveaboard-boat/emperor-explorer/,reservations@emperordivers.com,Operator site,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Emperor+Explorer+Maldives,https://www.google.com/maps/search/?api=1&query=Emperor+Explorer+Maldives,,,,,,,
Maldives,Emperor Serenity,Liveaboard,Fleet,Malé (embarkation),Emperor Divers (HQ); Maldives embark: Malé,https://www.emperordivers.com/liveaboard-boat/emperor-serenity/,reservations@emperordivers.com,Operator site,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Emperor+Serenity+Maldives,https://www.google.com/maps/search/?api=1&query=Emperor+Serenity+Maldives,,,,,,,
Maldives,Emperor Leo,Liveaboard,Fleet,Malé (embarkation),Emperor Divers (HQ); Maldives embark: Malé,https://www.emperordivers.com/liveaboard-boat/emperor-leo/,reservations@emperordivers.com,Operator site,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Emperor+Leo+Maldives,https://www.google.com/maps/search/?api=1&query=Emperor+Leo+Maldives,,,,,,,
Maldives,Carpe Vita,Liveaboard,Fleet,Malé (embarkation),"Carpe Diem Maldives Pvt. Ltd., H. Coalfield 1st Floor/B, Kalhuhuraa Magu, Malé 20085, Maldives",https://www.carpediemmaldives-cruises.com/boats/carpe-vita,info@carpediemmaldives-cruises.com,Operator site,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Carpe+Vita+Maldives,https://www.google.com/maps/search/?api=1&query=Carpe+Vita+Maldives,,,,,,,
Maldives,Carpe Novo,Liveaboard,Fleet,Malé (embarkation),"Carpe Diem Maldives Pvt. Ltd., H. Coalfield 1st Floor/B, Kalhuhuraa Magu, Malé 20085, Maldives",https://www.carpediemmaldives-cruises.com/boats/carpe-novo,info@carpediemmaldives-cruises.com,Operator site,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Carpe+Novo+Maldives,https://www.google.com/maps/search/?api=1&query=Carpe+Novo+Maldives,,,,,,,
Maldives,Scubaspa Ying,Liveaboard,Fleet,Malé (embarkation),"Scubaspa Global Operations FZCO, Dubai Digital Park, Dubai Silicon Oasis, UAE (embark: Malé)",https://scubaspa.com/,sales@scubaspa.com,Operator site,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Scubaspa+Ying+Maldives,https://www.google.com/maps/search/?api=1&query=Scubaspa+Ying+Maldives,,,,,,,
Maldives,Scubaspa Yang,Liveaboard,Fleet,Malé (embarkation),"Scubaspa Global Operations FZCO, Dubai Digital Park, Dubai Silicon Oasis, UAE (embark: Malé)",https://scubaspa.com/,sales@scubaspa.com,Operator site,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Scubaspa+Yang+Maldives,https://www.google.com/maps/search/?api=1&query=Scubaspa+Yang+Maldives,,,,,,,
Maldives,Blue Voyager (Maldives Master),Liveaboard,Fleet,Malé (embarkation),"Master Liveaboards, 30 Gay Street, Bath BA1 2PA, UK (vessel in Maldives)",https://masterliveaboards.com/boats/blue-voyager/,dive@masterliveaboards.com,Operator site,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Blue+Voyager+%28Maldives+Master%29+Maldives,https://www.google.com/maps/search/?api=1&query=Blue+Voyager+%28Maldives+Master%29+Maldives,,,,,,,
Maldives,Maldives Master,Liveaboard,Fleet,Malé (embarkation),"Master Liveaboards, 30 Gay Street, Bath BA1 2PA, UK (vessel in Maldives)",https://masterliveaboards.com/boats/maldives-master/,dive@masterliveaboards.com,Operator site,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Maldives+Master+Maldives,https://www.google.com/maps/search/?api=1&query=Maldives+Master+Maldives,,,,,,,
Maldives,Blue Force One,Liveaboard,Fleet,Malé (embarkation),"Maldives Blue Force Pvt Ltd, Ameen Avenue (Oak A909), Hulhumalé/Malé, Maldives",https://www.blueforcefleet.com/boats/maldives-blue-force-one/,info@blueforcefleet.com,Operator site,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Blue+Force+One+Maldives,https://www.google.com/maps/search/?api=1&query=Blue+Force+One+Maldives,,,,,,,
Maldives,Blue Force 3,Liveaboard,Fleet,Malé (embarkation),"Maldives Blue Force Pvt Ltd, Ameen Avenue (Oak A909), Hulhumalé/Malé, Maldives",https://www.blueforcefleet.com/maldives-diving/,info@blueforcefleet.com,Operator site,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Blue+Force+3+Maldives,https://www.google.com/maps/search/?api=1&query=Blue+Force+3+Maldives,,,,,,,
Maldives,Maldives Aggressor II,Liveaboard,Fleet,Malé (embarkation),"Aggressor Adventures, 209 Hudson Trace, Augusta, GA 30907, USA (embark: Malé)",https://www.aggressor.com/destination/maldives,maldives@aggressor.com,Operator site,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Maldives+Aggressor+II+Maldives,https://www.google.com/maps/search/?api=1&query=Maldives+Aggressor+II+Maldives,,,,,,,
Maldives,Adora (Maldives Boat Club),Liveaboard,Fleet,Malé (embarkation),"Maldives Boat Club Pvt Ltd, Lot 10105, Ground Floor, Dhigga Magu, Malé 20292, Maldives",https://www.maldivesboatclub.com/adora/,info@maldivesboatclub.com,Operator site,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Adora+%28Maldives+Boat+Club%29+Maldives,https://www.google.com/maps/search/?api=1&query=Adora+%28Maldives+Boat+Club%29+Maldives,,,,,,,
Maldives,Honors Legacy,Liveaboard,Fleet,Malé (embarkation),"H. Mehelige 4/3, 03rd Floor, Kurangi Goalhi, Malé, Maldives",https://honorslegacy.com/honors-legacy/,sales@honorsholidays.com,Operator site & PADI,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=Honors+Legacy+Maldives,https://www.google.com/maps/search/?api=1&query=Honors+Legacy+Maldives,,,,,,,
Maldives,White Pearl (Pearl Fleet),Liveaboard,Fleet,Malé (embarkation),"Ma. Blue Flower, Ground Floor, Kaaminee Magu, Malé, Maldives",https://pearlfleet.org/white-pearl/,info@pearlfleet.org,Operator site & PADI,Yes,2025-08-23,https://www.tripadvisor.com/Search?q=White+Pearl+%28Pearl+Fleet%29+Maldives,https://www.google.com/maps/search/?api=1&query=White+Pearl+%28Pearl+Fleet%29+Maldives,,,,,,,
