country,province,area_city,shop_name,website,email,address,meets_final4,google_rating,google_reviews_count,google_maps_url,tripadvisor_rating,tripadvisor_reviews_count,tripadvisor_url,last_review_check_utc,google_reviews_link,region_province,city_area,explicitly_states_scuba,source_urls
South Africa,,,Outdoor Focus (Dive & Adventure Centre),https://www.outdoorfocus.co.za,info@outdoorfocus.co.za,"Kiddies Beach, Beach Road, Port Alfred, 6170, South Africa",True,,,https://www.google.com/maps/search/?api=1&query=Outdoor%20Focus%20%28Dive%20%26%20Adventure%20Centre%29%20Port%20Alfred%20%28Sunshine%20Coast%29%20Eastern%20Cape%20South%20Africa,,,https://www.tripadvisor.com/Attraction_Review-g953995-d8273299-Reviews-Outdoor_Focus-Port_Alfred_Eastern_Cape.html,2025-08-17T01:55:07Z,https://www.google.com/maps/search/?api=1&query=Outdoor%20Focus%20%28Dive%20%26%20Adventure%20Centre%29%20Port%20Alfred%20%28Sunshine%20Coast%29%20Eastern%20Cape%20South%20Africa,Eastern Cape,Port Alfred (Sunshine Coast),True,https://www.outdoorfocus.co.za/oceansports | https://www.facebook.com/OutdoorFocusPortAlfred/ | https://opening-hours.co.za/0226706/Outdoor_Focus
South Africa,,,Blue Ocean Dive Resort,https://blueoceandive.co.za/,bookings@blueoceandive.co.za,"1 Reynolds Street, Umkomaas, 4170, KwaZulu-Natal, South Africa",True,,,,,,https://www.tripadvisor.co.nz/ShowUserReviews-g2085136-d6579892-r182080692-Blue_Ocean_Dive_Resort-Umkomaas_KwaZulu_Natal.html,2025-08-17T01:55:07Z,,KwaZulu-Natal,Umkomaas (Aliwal Shoal),True,https://blueoceandive.co.za/contact/ | https://www.padi.com/dive-center/south-africa/blue-ocean-dive-resort/
South Africa,,,Aliwal Dive Centre & Lodge,https://aliwalshoal.co.za/,dive@aliwalshoal.co.za,"No. 2 Moodie Street, Umkomaas, KwaZulu-Natal, South Africa",True,,,,,,https://www.tripadvisor.co.za/Attraction_Review-g2085136-d1233790-Reviews-or10-Aliwal_Dive_Centre-Umkomaas_KwaZulu_Natal.html,2025-08-17T01:55:07Z,,KwaZulu-Natal,Umkomaas (Aliwal Shoal),True,https://aliwalshoal.co.za/contact-us/
South Africa,,,ScubaCo Diving & Travel,https://www.scubaco.co.za/,info@scubaco.co.za,"32 Harvey Street, Umkomaas, Durban, 4170, South Africa",True,,,,,,https://www.tripadvisor.com.au/Attraction_Review-g2085136-d11779306-Reviews-ScubaCo_Diving_Travel-Umkomaas_KwaZulu_Natal.html,2025-08-17T01:55:07Z,,KwaZulu-Natal,Umkomaas (Aliwal Shoal),True,https://www.scubaco.co.za/ | https://www.scubaco.co.za/contact-us/
South Africa,,,Ocean Warriors (Aliwal Shoal Adventures),https://oceanwarriorsdive.com/,oceanwarriorsdive@gmail.com,"1 Saint Helier Road, Widenham, Umkomaas, 4170, South Africa",True,,,,,,https://www.tripadvisor.co.uk/Attraction_Review-g2085136-d5931879-Reviews-Aliwal_Shoal_Adventures-Umkomaas_KwaZulu_Natal.html,2025-08-17T01:55:07Z,,KwaZulu-Natal,Widenham/Umkomaas (Aliwal Shoal),True,https://www.padi.com/dive-center/south-africa/aliwal-shoal-adventures-ocean-warriors/
South Africa,,,Aqua Planet Dive Centre & Charter,https://aquaplanet.co.za/,info@aquaplanet.co.za,"The Emporium (Shop 3), Corner Marine Drive & Kings Road, Shelly Beach, KwaZulu-Natal, South Africa",True,,,,,,https://www.tripadvisor.co.za/Attraction_Review-g946159-d2689698-Reviews-or15-Aqua_Planet-Shelly_Beach_Margate_KwaZulu_Natal.html,2025-08-17T01:55:07Z,,KwaZulu-Natal,Shelly Beach (Protea Banks),True,https://aquaplanet.co.za/contact/ | https://www.visitkznsouthcoast.co.za/vic/shelly-beach/aqua-planet-dive-centre-charter/
South Africa,,,Calypso Dive & Adventure Centre (uShaka),https://calypsoushaka.co.za/,info@calypsoushaka.co.za,"Shop K8, uShaka Village Walk, 1 Camperdown Road, Point Waterfront, Durban, 4001, South Africa",True,,,,,,https://www.tripadvisor.co.uk/ShowUserReviews-g312595-d2527528-r189825989-Calypso_Dive_and_Adventure-Durban_KwaZulu_Natal.html,2025-08-17T01:55:07Z,,KwaZulu-Natal,Durban (uShaka Marine World),True,https://connectmenow.co.za/listing/calypso-dive-and-adventure-centre-pty-ltd/ | https://divescover.com/dive-center/calypso-dive-adventure-s-35367/6960 | https://www.myguidedurban.com/things-to-do/calypso-dive
South Africa,,,Coral Divers,https://coraldivers.co.za/,bookings@coraldivers.co.za,"Sodwana Bay, KwaZulu-Natal, 3974, South Africa (Inside iSimangaliso Wetland Park)",True,,,,,,https://www.tripadvisor.ie/ShowUserReviews-g1237684-d656201-r817010272-Coral_Divers-Sodwana_KwaZulu_Natal.html,2025-08-17T01:55:07Z,,KwaZulu-Natal,Sodwana Bay (iSimangaliso),True,https://coraldivers.co.za/contact-us/ | https://www.padi.com/dive-center/south-africa/coral-divers/
South Africa,,,Triton Dive Lodge,https://www.tritondiving.co.za/,tritondiving@mweb.co.za,"Sodwana Bay, KwaZulu-Natal, South Africa",True,,,,,,https://www.tripadvisor.in/ShowUserReviews-g1237684-d2255823-r917650591-Triton_Dive_Lodge-Sodwana_KwaZulu_Natal.html,2025-08-17T01:55:07Z,,KwaZulu-Natal,Sodwana Bay (iSimangaliso),True,https://www.tritondiving.co.za/contact | https://www.padi.com/dive-center/south-africa/triton-dive-lodge/
South Africa,,,Sodwana Bay Lodge Scuba Centre,https://sodwanadiving.co.za/,admin@myscubacentre.co.za,"Sodwana Bay Main Road, Sodwana, KwaZulu-Natal, 3974, South Africa",True,,,,,,,2025-08-17T01:55:07Z,,KwaZulu-Natal,Sodwana Bay (iSimangaliso),True,https://sodwanadiving.co.za/contact/ | https://www.padi.com/dive-center/south-africa/sodwana-bay-lodge-scuba-centre/
South Africa,,,Occi Scuba (Zulu Scuba),http://www.zuluscuba.co.za/,dive@zuluscuba.co.za,"7 Main Road, Sodwana Bay, KwaZulu-Natal, 3974, South Africa",True,,,,,,,2025-08-17T01:55:07Z,,KwaZulu-Natal,Sodwana Bay (iSimangaliso),True,https://www.padi.com/dive-center/south-africa/occi-scuba/
