Country,Region/Island,Area,Type,Business Name,City/Island,Address,Website,Phone,Email,TripAdvisor URL,TA_Bubbles(5=Excellent),TA_Review_Count,Google_Stars_FirstParty,Google_Stars_Source_URL,Notes/Tags,Status,Last Checked (UTC),__name__,__city__,__host__
United States,California – Los Angeles,San Pedro,Dive Shop,Pacific Wilderness,San Pedro,,https://www.pacificwilderness.com/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,pacific wilderness,san pedro,pacificwilderness.com
United States,California – Los Angeles,San Pedro,Operator (Scuba Charter),Magician Dive Boat,San Pedro,,https://magiciansportfishing.com/diving/,,,,,,,,,US Wave 2 Add,2025-08-14 00:09:24 UTC,magician dive boat,san pedro,magiciansportfishing.com
United States,California – Los Angeles,Venice,Dive Shop,Ocean Adventures Dive Co.,Venice,,https://www.scubadiverla.com/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,ocean adventures dive co.,venice,scubadiverla.com
United States,California – Monterey,Monterey,Dive Shop,Aquarius Dive Shop,Monterey,,https://aquariusdivers.com/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,aquarius dive shop,monterey,aquariusdivers.com
United States,California – Monterey,Monterey,Dive Shop,Bamboo Reef (Monterey),Monterey,,https://www.bambooreef.com/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,bamboo reef (monterey),monterey,bambooreef.com
United States,California – Monterey,Monterey,Dive Shop,Breakwater Scuba,Monterey,,https://breakwaterscuba.com/,,,,,,,,,US Wave 2 Add,2025-08-14 00:09:24 UTC,breakwater scuba,monterey,breakwaterscuba.com
United States,California – Monterey,Monterey,Dive Shop,Monterey Bay Dive Company,Monterey,,https://www.montereyscubadiving.com/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,monterey bay dive company,monterey,montereyscubadiving.com
United States,California – Monterey,Monterey,Operator (Scuba Charter),Beach Hopper II Charters,Monterey,,https://www.beachhopper2.com/,,,,,,,,,US Wave 2 Add,2025-08-14 00:09:24 UTC,beach hopper ii charters,monterey,beachhopper2.com
United States,California – Orange County,Huntington Beach,Dive Shop,Beach Cities Scuba,Huntington Beach,,https://beachcitiescuba.com/,,,,,,,,,US Wave 2 Add,2025-08-14 00:09:24 UTC,beach cities scuba,huntington beach,beachcitiescuba.com
United States,California – Orange County,Irvine,Dive Shop,SCUBA.com Dive Center,Irvine,,https://www.scuba.com/,,,,,,,,,US Wave 2 Add,2025-08-14 00:09:24 UTC,scuba.com dive center,irvine,scuba.com
United States,California – Sacramento,Sacramento,Dive Shop,Dolphin Scuba Center,Sacramento,,https://www.dolphinscuba.com/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,dolphin scuba center,sacramento,dolphinscuba.com
United States,California – San Diego,San Diego,Dive Shop,House of Scuba,San Diego,,https://www.houseofscuba.com/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,house of scuba,san diego,houseofscuba.com
United States,California – San Diego,San Diego,Dive Shop,Ocean Enterprises,San Diego,,https://www.oceanenterprises.com/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,ocean enterprises,san diego,oceanenterprises.com
United States,California – San Diego,San Diego,Operator,Lois Ann Dive Charters,San Diego,,https://www.loisann.com/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,lois ann dive charters,san diego,loisann.com
United States,California – San Diego,San Diego,Operator,Marissa Dive Charters,San Diego,,https://www.marissacharters.com/,,,https://www.tripadvisor.com/Attraction_Review-g60750-d1134088-Reviews-Marissa_Dive_Charters-San_Diego_California.html,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,marissa dive charters,san diego,marissacharters.com
United States,California – San Diego,San Diego,Operator,Waterhorse Charters,San Diego,,https://www.waterhorsecharters.com/,,,https://www.tripadvisor.com/Attraction_Review-g60750-d1997035-Reviews-Waterhorse_Charters-San_Diego_California.html,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,waterhorse charters,san diego,waterhorsecharters.com
United States,California – San Diego,San Diego,Operator (Scuba Charter),San Diego Scuba Guide,San Diego,,https://www.sandiegoscubaguide.com/,,,,,,,,,US Wave 5 Add,2025-08-14 00:09:24 UTC,san diego scuba guide,san diego,sandiegoscubaguide.com
United States,Connecticut – Fairfield County,Fairfield,Dive Shop,The Dive Shop,Fairfield,,https://thediveshop-club.com/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,the dive shop,fairfield,thediveshop-club.com
United States,Connecticut – Hartford Metro,Rocky Hill,Dive Shop,Scuba Shack (CT),Rocky Hill,,https://scubashackct.com/,,,,,,,,,US Wave 4 Add,2025-08-14 00:09:24 UTC,scuba shack (ct),rocky hill,scubashackct.com
United States,Connecticut – Shoreline,Old Saybrook,Operator (Scuba Charter),Captain Morgan’s Dive Charters,Old Saybrook,,https://www.captainmorgandivecharters.com/,,,,,,,,,US Wave 5 Add,2025-08-14 00:09:24 UTC,captain morgan's dive charters,old saybrook,captainmorgandivecharters.com
United States,Connecticut – Statewide,Wallingford,Dive Shop,New England Dive,Wallingford,,https://newenglanddive.com/,,,,,,,,,US Wave 2 Add,2025-08-14 00:09:24 UTC,new england dive,wallingford,newenglanddive.com
United States,Florida – Broward,Boca Raton,Dive Shop,Force-E Scuba Centers (Boca),Boca Raton,,https://www.force-e.com/,,,,,,,,,US Wave 3 Add,2025-08-14 00:09:24 UTC,force-e scuba centers (boca),boca raton,force-e.com
United States,Florida – Broward,Deerfield Beach,Dive Shop,Dixie Divers (Lady Go Diver),Deerfield Beach,,https://www.dixiediver.com/,,,,,,,,Shop + scuba charter boat,US Wave 2 Add,2025-08-14 00:09:24 UTC,dixie divers (lady go diver),deerfield beach,dixiediver.com
United States,Florida – Broward,Fort Lauderdale,Dive Shop,Sea Experience,Fort Lauderdale,,https://seaexperience.com/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,sea experience,fort lauderdale,seaexperience.com
United States,Florida – Broward,Pompano Beach,Dive Shop,Force-E Scuba Centers (Pompano),Pompano Beach,,https://www.force-e.com/,,,,,,,,,US Wave 3 Add,2025-08-14 00:09:24 UTC,force-e scuba centers (pompano),pompano beach,force-e.com
United States,Florida – Broward,Pompano Beach,Dive Shop,Pompano Dive Center,Pompano Beach,,https://pompanodivecenter.com/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,pompano dive center,pompano beach,pompanodivecenter.com
United States,Florida – Broward,Pompano Beach,Dive Shop,South Florida Diving Headquarters,Pompano Beach,,https://www.sfdh.com/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,south florida diving headquarters,pompano beach,sfdh.com
United States,Florida – Broward,Pompano Beach,Operator,American Dream Dive Charters,Pompano Beach,,https://www.americandreamuw.com/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,american dream dive charters,pompano beach,americandreamuw.com
United States,Florida – Broward,Pompano Beach,Operator (Scuba Charter),Scubatyme Charters,Pompano Beach,,https://www.scubatyme.com/,,,,,,,,,US Wave 2 Add,2025-08-14 00:09:24 UTC,scubatyme charters,pompano beach,scubatyme.com
United States,Florida – First Coast,Jacksonville Beach,Dive Shop,Atlantic Pro Divers,Jacksonville Beach,,https://www.atlanticprodivers.com/,,,,,,,,,US Wave 3 Add,2025-08-14 00:09:24 UTC,atlantic pro divers,jacksonville beach,atlanticprodivers.com
United States,Florida – Gulf Coast,Sarasota / Venice,Dive Shop,Florida Underwater Sports,Sarasota / Venice,,https://floridaunderwatersports.com/,,,,,,,,,US Wave 5 Add,2025-08-14 00:09:24 UTC,florida underwater sports,sarasota / venice,floridaunderwatersports.com
United States,Florida – Gulf Coast,Venice,Operator,Florida West Scuba & Charters,Venice,,https://divevenice.com/,,,,,,,,Megalodon teeth hunting,US Wave 1 Seed,2025-08-14 00:09:24 UTC,florida west scuba & charters,venice,divevenice.com
United States,Florida – Islamorada/Tavernier,Islamorada,Dive Shop,Islamorada Dive Center,Islamorada,,https://www.islamoradadivecenter.com/,,,,,,,,,US Wave 2 Add,2025-08-14 00:09:24 UTC,islamorada dive center,islamorada,islamoradadivecenter.com
United States,Florida – Islamorada/Tavernier,Islamorada,Dive Shop,Key Dives,Islamorada,,https://www.keydives.com/,,,https://www.tripadvisor.com/Attraction_Review-g34346-d1548191-Reviews-Key_Dives-Islamorada_Florida_Keys_Florida.html,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,key dives,islamorada,keydives.com
United States,Florida – Islamorada/Tavernier,Key Largo,Operator (Scuba Charter),Island Ventures,Key Largo,,https://islandventure.com/,,,,,,,,,US Wave 2 Add,2025-08-14 00:09:24 UTC,island ventures,key largo,islandventure.com
United States,Florida – Islamorada/Tavernier,Tavernier,Dive Shop,Florida Keys Dive Center,Tavernier,,https://www.floridakeysdivectr.com/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,florida keys dive center,tavernier,floridakeysdivectr.com
United States,Florida – Key Largo,Key Largo,Dive Shop,Captain Slate’s Scuba Adventures,Key Largo,,https://captainslate.com/,,,,,,,,,US Wave 2 Add,2025-08-14 00:09:24 UTC,captain slate's scuba adventures,key largo,captainslate.com
United States,Florida – Key Largo,Key Largo,Dive Shop,Conch Republic Divers (Tavernier),Key Largo,,https://conchrepublicdivers.com/,,,https://www.tripadvisor.com/Attraction_Review-g34677-d1745545-Reviews-Conch_Republic_Divers-Tavernier_Key_Largo_Florida_Keys_Florida.html,,,,,Based in Tavernier,US Wave 1 Seed,2025-08-14 00:09:24 UTC,conch republic divers (tavernier),key largo,conchrepublicdivers.com
United States,Florida – Key Largo,Key Largo,Dive Shop,Horizon Divers,Key Largo,,https://horizondivers.com/,,,https://www.tripadvisor.com/Attraction_Review-g34344-d2578375-Reviews-Horizon_Divers-Key_Largo_Florida_Keys_Florida.html,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,horizon divers,key largo,horizondivers.com
United States,Florida – Key Largo,Key Largo,Dive Shop,Ocean Divers Key Largo,Key Largo,,https://www.oceandivers.com/,,,,,,,,,US Wave 5 Add,2025-08-14 00:09:24 UTC,ocean divers key largo,key largo,oceandivers.com
United States,Florida – Key Largo,Key Largo,Dive Shop,Quiescence Diving Services,Key Largo,,https://www.keylargodiving.com/,,,,,,,,,US Wave 2 Add,2025-08-14 00:09:24 UTC,quiescence diving services,key largo,keylargodiving.com
United States,Florida – Key Largo,Key Largo,Dive Shop,Rainbow Reef Dive Center,Key Largo,,https://www.rainbowreef.us/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,rainbow reef dive center,key largo,rainbowreef.us
United States,Florida – Key Largo,Key Largo,Dive Shop,Sail Fish Scuba,Key Largo,,https://sailfishscuba.com/,,,,,,,,,US Wave 3 Add,2025-08-14 00:09:24 UTC,sail fish scuba,key largo,sailfishscuba.com
United States,Florida – Key Largo,Key Largo,Dive Shop,Sea Dwellers Dive Center,Key Largo,,https://www.seadwellers.com/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,sea dwellers dive center,key largo,seadwellers.com
United States,Florida – Key Largo,Key Largo,Dive Shop,Silent World Dive Center,Key Largo,,https://www.silentworld.com/,,,https://www.tripadvisor.com/AttractionProductReview-g34344-d17578547-Key_Largo_Two_Reef_Snorkel_Tour-Silent_World_Key_Largo_Key_Largo_Florida_Keys_Florida.html,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,silent world dive center,key largo,silentworld.com
United States,Florida – Key West,Key West,Dive Shop,Captain’s Corner Dive Center,Key West,,https://www.captainscorner.com/,,,https://www.tripadvisor.in/Attraction_Review-g34345-d736043-Reviews-Captain_s_Corner_Dive_Center-Key_West_Florida_Keys_Florida.html,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,captain's corner dive center,key west,captainscorner.com
United States,Florida – Key West,Key West,Dive Shop,Dive Key West,Key West,,https://divekeywest.com/,,,https://www.tripadvisor.in/Attraction_Review-g34345-d142741-Reviews-Dive_Key_West-Key_West_Florida_Keys_Florida.html,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,dive key west,key west,divekeywest.com
United States,Florida – Key West,Key West,Dive Shop,Lost Reef Adventures,Key West,,https://www.lostreefadventures.com/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,lost reef adventures,key west,lostreefadventures.com
United States,Florida – Key West,Key West,Dive Shop,Southpoint Divers,Key West,,https://www.southpointdivers.com/,,,https://www.tripadvisor.com/Attraction_Review-g34345-d1138438-Reviews-Southpoint_Divers-Key_West_Florida_Keys_Florida.html,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,southpoint divers,key west,southpointdivers.com
United States,Florida – Keys (multi-base),Keys (multi),Operator,Captain Hook’s (Key West),Keys (multi),,https://captainhooks.com/,,,https://www.tripadvisor.com/Attraction_Review-g34347-d1102394-Reviews-Captain_Hook_s_Marina_Dive_Center-Marathon_Florida_Keys_Florida.html,,,,,Also Marathon/Key Largo boats,US Wave 1 Seed,2025-08-14 00:09:24 UTC,captain hook's (key west),keys (multi),captainhooks.com
United States,Florida – Lower Keys,Big Pine Key,Operator,Strike Zone Charters,Big Pine Key,,https://www.strikezonecharters.com/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,strike zone charters,big pine key,strikezonecharters.com
United States,Florida – Miami,Key Biscayne,Operator (Scuba Charter),Divers Paradise (Miami),Key Biscayne,,https://www.keydivers.com/,,,,,,,,,US Wave 4 Add,2025-08-14 00:09:24 UTC,divers paradise (miami),key biscayne,keydivers.com
United States,Florida – Miami,Miami,Liveaboard,Juliet Sailing & Diving (Liveaboard),Miami,,https://www.julietsailinganddiving.com/,,,,,,,,Seasonal Keys/Bahamas itineraries,US Wave 2 Add,2025-08-14 00:09:24 UTC,juliet sailing & diving (liveaboard),miami,julietsailinganddiving.com
United States,Florida – Miami,Miami / South Beach,Dive Shop,South Beach Divers,Miami / South Beach,,https://www.southbeachdivers.com/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,south beach divers,miami / south beach,southbeachdivers.com
United States,Florida – Miami,Miami / South Beach,Dive Shop,Tarpoon Lagoon Diving Center,Miami / South Beach,,https://www.tarpoondivecenter.com/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,tarpoon lagoon diving center,miami / south beach,tarpoondivecenter.com
United States,Florida – Middle Keys,Marathon,Dive Shop,Abyss Dive Center,Marathon,,https://www.abyssdivecenter.com/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,abyss dive center,marathon,abyssdivecenter.com
United States,Florida – Middle Keys,Marathon,Dive Shop,Captain Hook’s (Marathon),Marathon,,https://captainhooks.com/,,,https://www.tripadvisor.com/Attraction_Review-g34347-d1102394-Reviews-Captain_Hook_s_Marina_Dive_Center-Marathon_Florida_Keys_Florida.html,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,captain hook's (marathon),marathon,captainhooks.com
United States,Florida – Middle Keys,Marathon,Dive Shop,Hall’s Diving Center & Resort,Marathon,,https://www.hallsdiving.com/,,,,,,,,,US Wave 4 Add,2025-08-14 00:09:24 UTC,hall's diving center & resort,marathon,hallsdiving.com
United States,Florida – North Central Springs,Fort White,Dive Shop,Amigos Dive Center,Fort White,,https://www.amigosdivecenter.com/,,,,,,,,,US Wave 5 Add,2025-08-14 00:09:24 UTC,amigos dive center,fort white,amigosdivecenter.com
United States,Florida – North Central Springs,High Springs,Dive Shop,Cave Country Dive Shop,High Springs,,https://www.cavecountrydiving.com/,,,,,,,,Cave/tech focused; springs hub,US Wave 5 Add,2025-08-14 00:09:24 UTC,cave country dive shop,high springs,cavecountrydiving.com
United States,Florida – North Central Springs,High Springs,Operator / Dive Site,Ginnie Springs Outdoors (Diving),High Springs,,https://ginniespringsoutdoors.com/,,,,,,,,Open-water & cave; on-site facilities,US Wave 5 Add,2025-08-14 00:09:24 UTC,ginnie springs outdoors (diving),high springs,ginniespringsoutdoors.com
United States,Florida – North Central Springs,Williston,Operator / Dive Site,Blue Grotto Dive Resort,Williston,,https://www.bluegrotto.com/,,,,,,,,Spring cavern site with on-site dive ops,US Wave 5 Add,2025-08-14 00:09:24 UTC,blue grotto dive resort,williston,bluegrotto.com
United States,Florida – North Central Springs,Williston,Operator / Dive Site,Devil’s Den Spring (Dive Center),Williston,,https://www.devilsden.com/,,,,,,,,Spring dive site with rentals & training,US Wave 5 Add,2025-08-14 00:09:24 UTC,devil's den spring (dive center),williston,devilsden.com
United States,Florida – Orlando Metro,Lake Mary,Dive Shop,Seminole Scuba,Lake Mary,,https://www.seminolescuba.com/,,,,,,,,,US Wave 4 Add,2025-08-14 00:09:24 UTC,seminole scuba,lake mary,seminolescuba.com
United States,Florida – Palm Beach,Boynton Beach,Dive Shop,Boynton Beach Dive Center,Boynton Beach,,https://www.bbdc.com/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,boynton beach dive center,boynton beach,bbdc.com
United States,Florida – Palm Beach,Boynton Beach,Operator,Loggerhead Dive Charters,Boynton Beach,,https://www.loggerheadcharters.com/,,,https://www.tripadvisor.com/Attraction_Review-g34093-d3646390-Reviews-Loggerhead_Dive_Charters-Boynton_Beach_Florida.html,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,loggerhead dive charters,boynton beach,loggerheadcharters.com
United States,Florida – Palm Beach,Boynton Beach,Operator,Underwater Explorers (Kevin),Boynton Beach,,https://underwaterexplorers.com/,,,https://www.tripadvisor.com/Attraction_Review-g34094-d1763011-Reviews-Underwater_Explorers-Boynton_Beach_Florida.html,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,underwater explorers (kevin),boynton beach,underwaterexplorers.com
United States,Florida – Palm Beach,Boynton Beach,Operator (Scuba Charter),Splashdown Divers,Boynton Beach,,https://www.splashdowndivers.com/,,,,,,,,,US Wave 2 Add,2025-08-14 00:09:24 UTC,splashdown divers,boynton beach,splashdowndivers.com
United States,Florida – Palm Beach,Jupiter,Dive Shop,Jupiter Dive Center,Jupiter,,https://jupiterdivecenter.com/,,,https://www.tripadvisor.com/Attraction_Review-g34335-d1547655-Reviews-Jupiter_Dive_Center-Jupiter_Florida.html,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,jupiter dive center,jupiter,jupiterdivecenter.com
United States,Florida – Palm Beach,Jupiter,Operator (Scuba Charter),Emerald Charters,Jupiter,,https://www.emeraldcharters.com/,,,,,,,,Shark diving,US Wave 2 Add,2025-08-14 00:09:24 UTC,emerald charters,jupiter,emeraldcharters.com
United States,Florida – Palm Beach,Riviera Beach,Dive Shop,Force-E Scuba Centers (Riviera),Riviera Beach,,https://www.force-e.com/,,,,,,,,Retail + schedules local scuba charters,US Wave 3 Add,2025-08-14 00:09:24 UTC,force-e scuba centers (riviera),riviera beach,force-e.com
United States,Florida – Palm Beach,Riviera Beach,Dive Shop,Jim Abernethy’s Scuba Adventures,Riviera Beach,,https://scuba-adventures.com/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,jim abernethy's scuba adventures,riviera beach,scuba-adventures.com
United States,Florida – Palm Beach,Riviera Beach,Dive Shop,Pura Vida Divers,Riviera Beach,,https://www.puravidadivers.com/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,pura vida divers,riviera beach,puravidadivers.com
United States,Florida – Palm Beach,Riviera Beach,Operator,Narcosis Dive Company,Riviera Beach,,https://www.narcosisdivecharters.com/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,narcosis dive company,riviera beach,narcosisdivecharters.com
United States,Florida – Palm Beach,Riviera Beach,Operator (Scuba Charter),South Florida Dive Charters,Riviera Beach,,https://www.southfloridadivecharters.com/,,,,,,,,,US Wave 2 Add,2025-08-14 00:09:24 UTC,south florida dive charters,riviera beach,southfloridadivecharters.com
United States,Florida – Palm Beach,Riviera Beach,Operator (Scuba Charter),Walker's Dive Charters,Riviera Beach,,https://walkersdivecharters.com/,,,https://www.tripadvisor.com/Attraction_Review-g34531-d3907128-Reviews-Walker_s_Dive_Charters-Palm_Beach_Gardens_Florida.html,,,,,,US Wave 2 Add,2025-08-14 00:09:24 UTC,walker's dive charters,riviera beach,walkersdivecharters.com
United States,Florida – Panhandle,Destin,Dive Shop,Emerald Coast Scuba,Destin,,https://www.ecscuba.com/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,emerald coast scuba,destin,ecscuba.com
United States,Florida – Panhandle,Destin,Dive Shop,Scubatech of Northwest Florida,Destin,,https://scubatechnwfl.com/,,,,,,,,,US Wave 4 Add,2025-08-14 00:09:24 UTC,scubatech of northwest florida,destin,scubatechnwfl.com
United States,Florida – Panhandle,Panama City Beach,Dive Shop,Dive Locker,Panama City Beach,,https://www.divelocker.net/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,dive locker,panama city beach,divelocker.net
United States,Florida – Panhandle,Panama City Beach,Dive Shop,Panama City Diving,Panama City Beach,,https://www.pcdive.com/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,panama city diving,panama city beach,pcdive.com
United States,Florida – Panhandle,Panama City Beach,Operator (Scuba Charter),Niuhi Dive Charters,Panama City Beach,,https://niuhi.com/,,,,,,,,,US Wave 2 Add,2025-08-14 00:09:24 UTC,niuhi dive charters,panama city beach,niuhi.com
United States,Florida – Panhandle,Pensacola,Dive Shop,MBT Divers,Pensacola,,https://www.mbtdivers.com/,,,,,,,,,US Wave 1 Seed,2025-08-14 00:09:24 UTC,mbt divers,pensacola,mbtdivers.com
United States,Florida – Panhandle,Pensacola,Operator (Scuba Charter),H2O Below (Dive Charter),Pensacola,,https://www.h2obelow.com/,,,,,,,,,US Wave 2 Add,2025-08-14 00:09:24 UTC,h2o below (dive charter),pensacola,h2obelow.com
United States,Florida – Southwest,Fort Myers,Dive Shop,Scubavice Diving Center,Fort Myers,,https://www.scubavicedivers.com/,,,,,,,,,US Wave 3 Add,2025-08-14 00:09:24 UTC,scubavice diving center,fort myers,scubavicedivers.com
United States,Florida – Southwest,Naples,Dive Shop,Scuba Quest – Naples,Naples,,https://www.scubaquestusa.com/,,,,,,,,,US Wave 3 Add,2025-08-14 00:09:24 UTC,scuba quest – naples,naples,scubaquestusa.com
United States,Florida – Southwest,Sarasota,Dive Shop,Scuba Quest – Sarasota,Sarasota,,https://www.scubaquestusa.com/,,,,,,,,,US Wave 3 Add,2025-08-14 00:09:24 UTC,scuba quest – sarasota,sarasota,scubaquestusa.com
United States,Florida – Space Coast,Melbourne,Dive Shop,Hatts’ Diving Headquarters,Melbourne,,https://www.hattsdiving.com/,,,,,,,,,US Wave 3 Add,2025-08-14 00:09:24 UTC,hatts' diving headquarters,melbourne,hattsdiving.com
United States,Florida – Tampa Bay,Clearwater,Dive Shop,Mac’s Sports Inc. (Dive),Clearwater,,https://macssports.com/,,,,,,,,Dive retail & training,US Wave 3 Add,2025-08-14 00:09:24 UTC,mac's sports inc. (dive),clearwater,macssports.com
United States,Florida – Tampa Bay,Clearwater,Operator (Scuba Charter),Tanks-A-Lot Dive Charters,Clearwater,,https://www.tanksalotdiving.com/,,,,,,,,,US Wave 3 Add,2025-08-14 00:09:24 UTC,tanks-a-lot dive charters,clearwater,tanksalotdiving.com
