Country,Region,City/Town,Shop Name,Website,Email,Business Address,Phone,Notes,TripAdvisor Rating,TripAdvisor Reviews,TripAdvisor URL,Google Maps URL,Google Snapshot Rating,Google Snapshot Reviews,Google Snapshot (UTC),Last Checked (UTC)
France,Corse,Bastia,Club de Plongée Bastiais,https://www.plongee-bastia.com/,clubdeplongeebastiais@gmail.com,"Port de Toga, 20200 Bastia",,"Centre/club; baptêmes, formations, explorations",4.9,168.0,https://www.tripadvisor.com/Search?q=Club+de+Plong%C3%A9e+Bastiais+Bastia+scuba+plong%C3%A9e,https://www.google.com/maps/search/?api=1&query=Club+de+Plong%C3%A9e+Bastiais+Bastia+France,,,,2025-08-19 22:27:03Z
France,Corse,Bastia,Corsica Sub (Bastia),https://www.corsica-sub.fr/,contact@corsica-sub.fr,"Quai de la Madonetta, 20200 Bastia",,Centre de plongée & d’apnée; SSI/PADI; ouvert toute l’année,,,https://www.tripadvisor.com/Search?q=Corsica+Sub+%28Bastia%29+Bastia+scuba+plong%C3%A9e,https://www.google.com/maps/search/?api=1&query=Corsica+Sub+%28Bastia%29+Bastia+France,,,,2025-08-19 22:11:25
France,Corse,Bastia (Haute-Corse),Toga Plongée,https://www.togaplongee.com,togaplongee@orange.fr,"Port de Toga, 20200 Bastia",,"Scuba center; baptêmes, courses, exploration",4.8,45.0,https://www.tripadvisor.fr/ShowUserReviews-g187141-d4789254-r965964737-Toga_plongee-Bastia_Haute_Corse_Corsica.html,https://www.google.com/maps/search/?api=1&query=Toga+Plong%C3%A9e+Bastia+%28Haute-Corse%29+France,,,,2025-08-19 22:27:03Z
France,Corse,Calvi (Haute-Corse),Diving Calvi A Piaghja,https://www.divingcalvi.fr,divingcalvi@icloud.com,"Route de la Pinède, 20260 Calvi",,"Scuba diving center; FFESSM/PADI; Revellata sites, B‑17",4.9,444.0,https://www.tripadvisor.com/Attraction_Review-g196482-d4410585-Reviews-DIVING_CALVI_a_Piaghja-Calvi_Haute_Corse_Corsica.html,https://www.google.com/maps/search/?api=1&query=Diving+Calvi+A+Piaghja+Calvi+%28Haute-Corse%29+France,4.9,310.0,2025-08-19 22:51:34Z,2025-08-19 22:51:34Z
France,Corse,Porto-Vecchio,Porto-Vecchio Plongée,https://portovecchioplongee.fr,contact@portovecchioplongee.fr,"Rue Mansuetus Alessandri, 20137 Porto-Vecchio, France",+33 6 71 86 82 67,Centre; explicitly scuba,4.9,402.0,https://www.tripadvisor.com/Attraction_Review-g196484-d6828501-Reviews-Porto_Vecchio_Plongee-Porto_Vecchio_Corse_du_Sud_Corsica.html,https://www.google.com/maps/search/?api=1&query=Porto-Vecchio+Plong%C3%A9e+Porto-Vecchio+France,,,,2025-08-19 22:11:25
France,Corse,Saint-Florent (Haute-Corse),Actisub Plongée,https://www.actisub.com,actisub@yahoo.fr,"Quai de l’Aliso (port), 20217 Saint‑Florent; Adresse postale : Lieu‑dit Corsu, 20232 Oletta",,"Scuba center; baptêmes, courses, exploration",,64.0,https://fr.tripadvisor.ch/Attraction_Review-g666541-d6878358-Reviews-Actisub-Saint_Florent_Haute_Corse_Corsica.html,https://www.google.com/maps/search/?api=1&query=Actisub+Plong%C3%A9e+Saint-Florent+%28Haute-Corse%29+France,,,,2025-08-19 23:05:15Z
France,Hauts-de-France,Abbeville,Abbeville Plongée Scub'Abb,https://www.scubabb.fr/,abbevilleplongee@gmail.com,"4 place Clemenceau, 80100 Abbeville",,Club de plongée; bouteille et apnée; sorties milieu naturel,,,https://www.tripadvisor.com/Search?q=Abbeville+Plong%C3%A9e+Scub%27Abb+Abbeville+scuba+plong%C3%A9e,https://www.google.com/maps/search/?api=1&query=Abbeville+Plong%C3%A9e+Scub%27Abb+Abbeville+France,,,,2025-08-19 22:11:25
France,Hauts-de-France,Boulogne-sur-Mer,CSMCO (Club Sous-Marin de la Côte d’Opale),https://associations.boulogne-sur-mer.fr/associations/club-sous-marin-de-la-cote-dopale/,csmco.president@orange.fr,"Quai Chanzy, Port de Plaisance, 62200 Boulogne-sur-Mer",,Club de plongée; sorties en mer depuis Boulogne,4.6,55.0,https://www.tripadvisor.com/Search?q=CSMCO+%28Club+Sous-Marin+de+la+C%C3%B4te+d%E2%80%99Opale%29+Boulogne-sur-Mer+scuba+plong%C3%A9e,https://www.google.com/maps/search/?api=1&query=CSMCO+%28Club+Sous-Marin+de+la+C%C3%B4te+d%E2%80%99Opale%29+Boulogne-sur-Mer+France,,,,2025-08-19 22:27:03Z
France,Hauts-de-France,Dunkerque,CPESMDE (Club Plongée Exploration Sous-Marine Dunkerque),https://www.dunkerque-plongee.fr/,dunkerque.plongee@laposte.net,"2567 route de l’écluse Wattier, 59140 Dunkerque",,Club de plongée; Mer du Nord; fosse Loïc Leferme,,,https://www.tripadvisor.com/Search?q=CPESMDE+%28Club+Plong%C3%A9e+Exploration+Sous-Marine+Dunkerque%29+Dunkerque+scuba+plong%C3%A9e,https://www.google.com/maps/search/?api=1&query=CPESMDE+%28Club+Plong%C3%A9e+Exploration+Sous-Marine+Dunkerque%29+Dunkerque+France,,,,2025-08-19 22:11:25
France,Normandie,Arromanches / Courseulles-sur-Mer,YCPAC (Yacht Club Plongée Arromanches Courseulles),https://arromanches-plongees-epaves.fr,renseignementplongeeycpac@gmail.com,"Courseulles-sur-Mer, 14470 (local associatif)",,Club de plongée; plongées sur épaves,,,https://www.tripadvisor.com/Search?q=YCPAC+%28Yacht+Club+Plong%C3%A9e+Arromanches+Courseulles%29+Arromanches+%2F+Courseulles-sur-Mer+scuba+plong%C3%A9e,https://www.google.com/maps/search/?api=1&query=YCPAC+%28Yacht+Club+Plong%C3%A9e+Arromanches+Courseulles%29+Arromanches+%2F+Courseulles-sur-Mer+France,,,,2025-08-19 22:11:25
France,Normandie,Cherbourg-en-Cotentin,Pôle Plongée Normandie,https://www.poleplongee.fr,contact@poleplongee.fr,"Port Chantereyne, 50100 Cherbourg-en-Cotentin, France",+33 2 33 41 21 21,Centre & shop; explicitly scuba,,,https://www.tripadvisor.com/Search?q=P%C3%B4le+Plong%C3%A9e+Normandie+Cherbourg-en-Cotentin+scuba+plong%C3%A9e,https://www.google.com/maps/search/?api=1&query=P%C3%B4le+Plong%C3%A9e+Normandie+Cherbourg-en-Cotentin+France,,,,2025-08-19 22:11:25
France,Normandie,Dieppe,CSSMD (Club des Sports Sous-Marins Dieppois),https://www.cssmd.fr/,plongee.cssmd@outlook.fr,"43 avenue Vauban, 76200 Dieppe",,Club de plongée; épaves; école de plongée,,,https://www.tripadvisor.com/Search?q=CSSMD+%28Club+des+Sports+Sous-Marins+Dieppois%29+Dieppe+scuba+plong%C3%A9e,https://www.google.com/maps/search/?api=1&query=CSSMD+%28Club+des+Sports+Sous-Marins+Dieppois%29+Dieppe+France,,,,2025-08-19 22:11:25
France,Normandie,Granville,CSH Granville-Chausey (Club Subaquatique Hippocampe),https://granville.jeplonge.org/,communication-granville@jeplonge.org,"478 avenue de l'Europe, 50400 Yquelon",,Club de plongée; sorties Chausey,,,https://www.tripadvisor.com/Search?q=CSH+Granville-Chausey+%28Club+Subaquatique+Hippocampe%29+Granville+scuba+plong%C3%A9e,https://www.google.com/maps/search/?api=1&query=CSH+Granville-Chausey+%28Club+Subaquatique+Hippocampe%29+Granville+France,,,,2025-08-19 22:11:25
France,Normandie,Le Havre (Seine-Maritime),EPPE – École de Plongée Paul Éluard,https://lh-plongee-eppe.fr,eppe_plongee@live.fr,"3632 quai du Rhône (club) / 89 rue Florimont-Laurent (pool), Le Havre",,Scuba school & club; FFESSM,,,https://www.tripadvisor.com/Search?q=EPPE+%E2%80%93+%C3%89cole+de+Plong%C3%A9e+Paul+%C3%89luard+Le+Havre+%28Seine-Maritime%29+scuba+plong%C3%A9e,https://www.google.com/maps/search/?api=1&query=EPPE+%E2%80%93+%C3%89cole+de+Plong%C3%A9e+Paul+%C3%89luard+Le+Havre+%28Seine-Maritime%29+France,,,,2025-08-19 22:11:25
France,Normandie,Ouistreham,Caen-Ouistreham Plongée,http://www.caen-ouistreham-plongee.org/,infos@caen-ouistreham-plongee.org,Ouistreham Riva-Bella (local du club),,Club de plongée; découverte et formation,,,https://www.tripadvisor.com/Search?q=Caen-Ouistreham+Plong%C3%A9e+Ouistreham+scuba+plong%C3%A9e,https://www.google.com/maps/search/?api=1&query=Caen-Ouistreham+Plong%C3%A9e+Ouistreham+France,,,,2025-08-19 22:11:25
France,Nouvelle-Aquitaine,Arcachon (Gironde),Club de Plongée Arcachonnais (CPA),https://club-de-plongee-arcachonnais.pepsup.com,cplongeearcachon@gmail.com,"Quai Goslar, 33120 Arcachon",,Scuba club; FFESSM; training & exploration,,,https://www.tripadvisor.com/Search?q=Club+de+Plong%C3%A9e+Arcachonnais+%28CPA%29+Arcachon+%28Gironde%29+scuba+plong%C3%A9e,https://www.google.com/maps/search/?api=1&query=Club+de+Plong%C3%A9e+Arcachonnais+%28CPA%29+Arcachon+%28Gironde%29+France,,,,2025-08-19 22:11:25
France,Nouvelle-Aquitaine,Biarritz,BAB Subaquatique,https://www.babsubaquatique.fr,contact@babsubaquatique.fr,"1A Allée Port des Pêcheurs, 64200 Biarritz, France",+33 6 09 26 22 65,Club/centre; explicitly scuba,5.0,1.0,https://www.tripadvisor.ca/Attractions-g187080-Activities-c55-Biarritz_Basque_Country_Pyrenees_Atlantiques_Nouvelle_Aquitaine.html,https://www.google.com/maps/search/?api=1&query=BAB+Subaquatique+Biarritz+France,,,,2025-08-19 22:33:01Z
France,Nouvelle-Aquitaine,Capbreton,Les Aquanautes,https://www.les-aquanautes.com,Lesaquanautes@yahoo.fr,"Quai Notre Dame, 40130 Capbreton",,Club/école de plongée; formations & explorations,,,https://www.tripadvisor.fr/Attraction_Review-g641840-d6966028-Reviews-Les_Aquanautes-Capbreton_Landes_Nouvelle_Aquitaine.html,https://www.google.com/maps/search/?api=1&query=Les+Aquanautes+Capbreton+France,,,,2025-08-19 22:33:01Z
France,Nouvelle-Aquitaine,Capbreton,Spot Plongée,https://spotplongee.fr,info@spotplongee.fr,"ZA des 2 Pins, 6 rue de Pourguedeuil, 40130 Capbreton",,Dive shop; explicitly states plongée sous-marine,,,https://www.tripadvisor.com/Search?q=Spot+Plong%C3%A9e+Capbreton+scuba+plong%C3%A9e,https://www.google.com/maps/search/?api=1&query=Spot+Plong%C3%A9e+Capbreton+France,,,,2025-08-19 22:11:25
France,Nouvelle-Aquitaine,Ciboure (Socoa),Odyssée Bleue Socoa,https://odysseebleuesocoa.fr,odysseebleuesocoa@live.fr,"4 Chemin des Blocs, 64500 Ciboure, France",+33 6 63 54 13 63,Centre de plongée; explicitly scuba,4.8,50.0,https://www.tripadvisor.com/Attraction_Review-g608754-d3772936-Reviews-Odyssee_Bleue_Socoa-Ciboure_Basque_Country_Pyrenees_Atlantiques_Nouvelle_Aquitaine.html,https://www.google.com/maps/search/?api=1&query=Odyss%C3%A9e+Bleue+Socoa+Ciboure+%28Socoa%29+France,,,,2025-08-19 22:51:34Z
France,Nouvelle-Aquitaine,Hendaye,PLANET OCEAN DIVE CENTER,https://planetocean.fr,contact@planetocean.fr,"8 Rue des Orangers, 64700 Hendaye, France",+33 6 62 63 66 27,Centre de plongée; explicitly scuba,4.9,138.0,https://www.tripadvisor.com/Attraction_Review-g196509-d4749242-Reviews-Planet_Ocean-Hendaye_Basque_Country_Pyrenees_Atlantiques_Nouvelle_Aquitaine.html,https://www.google.com/maps/search/?api=1&query=PLANET+OCEAN+DIVE+CENTER+Hendaye+France,,,,2025-08-19 22:11:25
France,Nouvelle-Aquitaine,Hendaye,URPEAN Espace Plongée,https://www.urpean.com,info@urpean.com,"10 Rue des Orangers (Quai de Floride), 64700 Hendaye, France",+33 6 88 74 68 69,Centre de plongée; explicitly scuba,,,https://www.tripadvisor.com/Attractions-g196509-Activities-c61-t194-Hendaye_Basque_Country_Pyrenees_Atlantiques_Nouvelle_Aquitaine.html,https://www.google.com/maps/search/?api=1&query=URPEAN+Espace+Plong%C3%A9e+Hendaye+France,,,,2025-08-19 22:14:50Z
France,Nouvelle-Aquitaine,La Rochelle (Charente-Maritime),Subaqua Club La Rochelle,https://subaqua17.com,secretariat@subaqua17.com,"Rue Léonce Maillot, 17000 La Rochelle",,Scuba club; FFESSM; training & dives,,0.0,https://en.tripadvisor.com.hk/Attraction_Review-g187206-d10156959-Reviews-Subaqua_Club_la_Rochelle-La_Rochelle_Charente_Maritime_Nouvelle_Aquitaine.html,https://www.google.com/maps/search/?api=1&query=Subaqua+Club+La+Rochelle+La+Rochelle+%28Charente-Maritime%29+France,,,,2025-08-19 22:17:37Z
France,Nouvelle-Aquitaine,Saint-Georges-d’Oléron,Oléron Plongée – Les Joyeux Corsaires,https://www.oleronplongee17.fr,ecoleplongee@oleronplongee17.fr; plonger17@oleronplongee17.fr,"125 Rue de la Pointe de Chaucre, 17190 Saint-Georges-d’Oléron, France",+33 6 95 45 60 14; +33 6 89 42 15 84,Centre/école; explicitly scuba,,,https://www.tripadvisor.com/Search?q=Ol%C3%A9ron+Plong%C3%A9e+%E2%80%93+Les+Joyeux+Corsaires+Saint-Georges-d%E2%80%99Ol%C3%A9ron+scuba+plong%C3%A9e,https://www.google.com/maps/search/?api=1&query=Ol%C3%A9ron+Plong%C3%A9e+%E2%80%93+Les+Joyeux+Corsaires+Saint-Georges-d%E2%80%99Ol%C3%A9ron+France,,,,2025-08-19 22:11:25
France,Occitanie,Banyuls-sur-Mer,Rédéris Plongée,https://www.rederis.com,contact@rederis.com,"Quai de la République, 66650 Banyuls-sur-Mer, France",+33 4 68 88 31 66,Centre de plongée; explicitly scuba,4.9,166.0,https://www.tripadvisor.fr/Attraction_Review-g666792-d9863846-Reviews-Rederis_Plongee-Banyuls_sur_mer_Pyrenees_Orientales_Occitanie.html,https://www.google.com/maps/search/?api=1&query=R%C3%A9d%C3%A9ris+Plong%C3%A9e+Banyuls-sur-Mer+France,,,,2025-08-19 22:47:50Z
France,Occitanie,Cap d’Agde (Hérault),Abyss Plongée Cap d’Agde,https://www.abyssplongee.com,abyssplongee34@gmail.com,"21 impasse du Globe – Le Pharo, 34300 Cap d’Agde",,"Scuba center; baptême, courses (PADI/ANMP), exploration",4.5,148.0,https://www.tripadvisor.com/Attraction_Review-g196602-d4454277-Reviews-Abyss_Plongee-Cap_d_Agde_Agde_Herault_Occitanie.html,https://www.google.com/maps/search/?api=1&query=Abyss+Plong%C3%A9e+Cap+d%E2%80%99Agde+Cap+d%E2%80%99Agde+%28H%C3%A9rault%29+France,,,,2025-08-19 22:14:50Z
France,Occitanie,Cerbère,Cap Cerbère,https://www.plongee-cap-cerbere.com,capcerbere@gmail.com,"Route d’Espagne, 66290 Cerbère, France",+33 4 68 88 41 00,Centre de plongée; explicitly scuba,4.7,113.0,https://www.tripadvisor.fr/Attraction_Review-g678217-d5569985-Reviews-Plongee_Cap_Cerbere-Cerbere_Pyrenees_Orientales_Occitanie.html,https://www.google.com/maps/search/?api=1&query=Cap+Cerb%C3%A8re+Cerb%C3%A8re+France,,,,2025-08-19 22:47:50Z
France,Occitanie,Palavas-les-Flots (Hérault),Bulles Plongée Palavas,https://www.bullesplongee.com,info@bullesplongee.com,"23 Route de Maguelone, 34250 Palavas-les-Flots",,"Scuba diving center; try-dives, courses, explorations",,,https://fr.tripadvisor.be/Attraction_Review-g644109-d7772897-Reviews-Bulles_Plongee-Palavas_les_Flots_Herault_Occitanie.html,https://www.google.com/maps/search/?api=1&query=Bulles+Plong%C3%A9e+Palavas+Palavas-les-Flots+%28H%C3%A9rault%29+France,,,,2025-08-19 22:14:50Z
France,Occitanie,Port-Leucate,Leucate Plongée,https://www.leucateplongee.fr,info@leucateplongee.fr,"2037 Avenue du Rec de l’Entrée, 11370 Port-Leucate, France",+33 6 86 13 09 22,Centre de plongée; explicitly scuba,4.9,117.0,https://www.tripadvisor.fr/Attraction_Review-g1194535-d2643796-Reviews-Leucate_Plongee-Port_Leucate_Aude_Occitanie.html,https://www.google.com/maps/search/?api=1&query=Leucate+Plong%C3%A9e+Port-Leucate+France,,,,2025-08-19 22:17:37Z
France,Pays de la Loire,La Turballe,CNT Plongée (Cercle Nautique Turballais),https://cntplongee.fr,cnt.laturballe@gmail.com,"Derrière la Capitainerie, Port de Plaisance, 44420 La Turballe",,"Club de plongée sous-marine; sorties mer, baptêmes, formations",,,https://www.tripadvisor.com/Search?q=CNT+Plong%C3%A9e+%28Cercle+Nautique+Turballais%29+La+Turballe+scuba+plong%C3%A9e,https://www.google.com/maps/search/?api=1&query=CNT+Plong%C3%A9e+%28Cercle+Nautique+Turballais%29+La+Turballe+France,,,,2025-08-19 22:11:25
France,Pays de la Loire,Les Sables-d’Olonne,Immersion Plongée 85,https://www.immersionplongee85.com,immersionplongee85@hotmail.com,"691 Bd de l'Île Vertime, Ponton du Vendée Globe, 85100 Les Sables-d’Olonne",,École de plongée; explicitly lists plongée sous-marine,,,https://www.tripadvisor.com/Search?q=Immersion+Plong%C3%A9e+85+Les+Sables-d%E2%80%99Olonne+scuba+plong%C3%A9e,https://www.google.com/maps/search/?api=1&query=Immersion+Plong%C3%A9e+85+Les+Sables-d%E2%80%99Olonne+France,,,,2025-08-19 22:11:25
France,Pays de la Loire,Piriac-sur-Mer,Cooleur Plongée,https://www.cooleurplongee-bateauecole.com,cooleur-plongee@orange.fr,"Place du Lehn (Bâtiment SNSM), 44420 Piriac-sur-Mer",,"École/centre de plongée; baptêmes, formations, explorations",,,https://www.tripadvisor.com/Search?q=Cooleur+Plong%C3%A9e+Piriac-sur-Mer+scuba+plong%C3%A9e,https://www.google.com/maps/search/?api=1&query=Cooleur+Plong%C3%A9e+Piriac-sur-Mer+France,,,,2025-08-19 22:11:25
France,Provence-Alpes-Côte d'Azur,Cannes,Easy Dive Cannes,https://www.easy-dive.com,easydive@easydive.fr,"2 Rue Esprit Violet, 06400 Cannes, France",+33 4 93 43 40 42,Dive center & retail; explicitly scuba,4.8,99.0,https://www.tripadvisor.com/Attraction_Review-g187221-d10726030-Reviews-Easy_Dive-Cannes_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,https://www.google.com/maps/search/?api=1&query=Easy+Dive+Cannes+Cannes+France,,,,2025-08-19 22:47:50Z
France,Provence-Alpes-Côte d'Azur,Cannes,Plongée Club de Cannes,https://www.plongee-cannes.com,info@plongee-cannes.com,"34 Boulevard Montfleury, 06400 Cannes, France (base at Quai Saint-Pierre)",+33 6 12 58 10 86,Club/centre; explicitly scuba diving,,,https://www.tripadvisor.fr/Attraction_Review-g187221-d10374460-Reviews-Plongee_Club_de_Cannes-Cannes_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,https://www.google.com/maps/search/?api=1&query=Plong%C3%A9e+Club+de+Cannes+Cannes+France,,,,2025-08-19 22:40:46Z
France,Provence-Alpes-Côte d'Azur,Carqueiranne,O2 Plongée,https://o2plongee.fr,contact@o2plongee.fr,"Port de Carqueiranne, 83320 Carqueiranne, France",+33 7 70 90 40 58,Centre de plongée; explicitly scuba,5.0,,https://www.tripadvisor.fr/Attraction_Review-g1080042-d23269320-Reviews-O2_Plongee-Carqueiranne_Var_Provence_Alpes_Cote_d_Azur.html,https://www.google.com/maps/search/?api=1&query=O2+Plong%C3%A9e+Carqueiranne+France,,,,2025-08-19 22:51:34Z
France,Provence-Alpes-Côte d'Azur,Cassis,Narval Plongée,https://www.narval-plongee.fr,fabienne2k6@narval-plongee.fr,"11 Avenue de la Viguerie, 13260 Cassis, France",+33 4 42 01 87 59,Centre de plongée; explicitly scuba,,134.0,https://www.tripadvisor.com/Attraction_Review-g196673-d4173680-Reviews-Centre_de_Plongee_Narval-Cassis_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_.html,https://www.google.com/maps/search/?api=1&query=Narval+Plong%C3%A9e+Cassis+France,,,,2025-08-19 22:43:52Z
France,Provence-Alpes-Côte d'Azur,Golfe-Juan (Vallauris),Diamond Diving,https://www.diamonddiving.net,info@diamonddiving.net,"11 Rue des Pêcheurs, Port Camille Rayon, 06220 Golfe-Juan, France",+33 6 15 30 52 23,PADI 5★ IDC; explicitly offers scuba diving training & trips,,173.0,https://www.tripadvisor.ca/FAQ-g187223-d2208965-Diamond_Diving.html,https://www.google.com/maps/search/?api=1&query=Diamond+Diving+Golfe-Juan+%28Vallauris%29+France,,,,2025-08-19 22:43:52Z
France,Provence-Alpes-Côte d'Azur,Hyères (Var),Ulysse Plongée,https://www.ulysseplongee.fr,ulysseplongee@gmail.com,"Presqu’île de Giens, Port de la Madrague, 83400 Hyères",,"Scuba diving on the Îles d'Or; baptême, formations, explorations",4.8,91.0,https://www.tripadvisor.fr/Attraction_Review-g187226-d4105817-Reviews-Ulysse_Plongee-Hyeres_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,https://www.google.com/maps/search/?api=1&query=Ulysse+Plong%C3%A9e+Hy%C3%A8res+%28Var%29+France,,,,2025-08-19 23:02:46Z
France,Provence-Alpes-Côte d'Azur,La Londe-les-Maures (Var),Aqualonde Plongée,https://aqualonde-plongee.com,contact@aqualonde-plongee.com,"22 Place de l’Hélice, Carré du Port Miramar, 83250 La Londe-les-Maures",,Scuba center (FFESSM & PADI); explorations and courses,4.8,332.0,https://fr.tripadvisor.ch/Attraction_Review-g1165144-d6384366-Reviews-Aqualonde_Plongee-La_Londe_Les_Maures_French_Riviera_Cote_d_Azur_Provence_.html,https://www.google.com/maps/search/?api=1&query=Aqualonde+Plong%C3%A9e+La+Londe-les-Maures+%28Var%29+France,,,,2025-08-19 22:11:25
France,Provence-Alpes-Côte d'Azur,La Londe-les-Maures (Var),DUNE La Londe,https://france.dune-world.com/fr/llm/contact,lalonde@dune-world.com,"Place de l’Hélice – Carré du Port, 83250 La Londe-les-Maures",,Scuba/snorkeling Port-Cros & Porquerolles; courses & dives,,,https://en.tripadvisor.com.hk/Attraction_Review-g1165144-d8389714-Reviews-Dune_La_Londe-La_Londe_Les_Maures_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote.html,https://www.google.com/maps/search/?api=1&query=DUNE+La+Londe+La+Londe-les-Maures+%28Var%29+France,,,,2025-08-19 23:02:46Z
