Country,Region/Island,Area,Type,Business Name,City/Island,Address,Website,Phone,Email,TripAdvisor URL,TA_Bubbles(5=Excellent),TA_Review_Count,Google_Stars_FirstParty,Google_Stars_Source_URL,Notes/Tags,Status,Last Checked (UTC),Contact_Source_URL,Google_Stars_FirstParty_Status,Contact_Status,Contact_LastChecked_UTC
Thailand,Gulf of Thailand – Koh Tao,Koh Tao,Operator (Scuba Charter),Goodtime Adventures,Koh Tao,,https://goodtimeadventures.com/,,,,,,,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,,No first-party numeric evidence found on site (not published or not located),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Gulf of Thailand – Koh Tao,Koh Tao,Dive Shop,Crystal Dive Koh Tao,Koh Tao,,https://www.crystaldive.com/,,,,,,,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,,No first-party numeric evidence found on site (not published or not located),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Gulf of Thailand – Koh Tao,Koh Tao,Dive Shop,Simple Life Divers,Koh Tao,,https://www.simplelifedivers.com/,,,,,,,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,,No first-party numeric evidence found on site (not published or not located),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Gulf of Thailand – Koh Tao,Koh Tao,Dive Shop,DJL Diving Koh Tao,Koh Tao,,https://www.djl-diving.com/,,,,,,,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,,No first-party numeric evidence found on site (not published or not located),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Andaman – Koh Lanta,Koh Lanta,Operator (Scuba Charter),Lanta Diver,Koh Lanta,"259/2 Moo 3, Saladan, Koh Lanta, Krabi 81150, Thailand",https://lantadiver.com/,+66 87 891 4141,scuba@lantadiver.com,https://www.tripadvisor.co.uk/Attraction_Review-g303905-d2516674-Reviews-Lanta_Diver-Ko_Lanta_Krabi_Province.html,Pending (site blocked),Pending (site blocked),,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,https://www.padi.com/dive-center/thailand/lanta-diver/,No first-party numeric evidence found on site,Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Andaman – Koh Lanta,Koh Lanta,Operator (Scuba Charter),Blue Planet Divers (Lanta),Koh Lanta,"150/1 Moo 1, Baan Saladan, Koh Lanta, Krabi 81150, Thailand",https://www.blueplanetdivers.net/,+66 85 472 3450,blueplanetdivers@gmail.com,https://www.tripadvisor.co.uk/Attraction_Review-g303905-d1607164-Reviews-Blue_Planet_Divers-Ko_Lanta_Krabi_Province.html,Pending (site blocked),Pending (site blocked),,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,https://blueplanetdivers.net/contact-us/,No first-party numeric evidence found on site,Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Andaman – Koh Lanta,Koh Lanta,Operator (Scuba Charter),Go Dive Lanta,Koh Lanta,"6 Moo 1, Saladan, Koh Lanta, Krabi 81150, Thailand",https://godive-lanta.com/,+66 81 892 8321,info@godive-lanta.com,https://www.tripadvisor.co.uk/Attraction_Review-g303905-d1551047-Reviews-Go_Dive_Lanta-Ko_Lanta_Krabi_Province.html,Pending (site blocked),Pending (site blocked),,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,https://www.godive-lanta.com/,No first-party numeric evidence found on site (not published or not located),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Andaman – Koh Lanta,Koh Lanta,Operator (Scuba Charter),Scubafish (Lanta),Koh Lanta,"152-152/1, Moo 5, Ko Lanta Yai, Krabi 81150, Thailand",https://www.scubafish.com/,+66 83 175 3077; +66 75 665 095,contact@scubafish.com,https://www.tripadvisor.co.uk/Attraction_Review-g303905-d668314-Reviews-Scubafish-Ko_Lanta_Krabi_Province.html,Pending (site blocked),Pending (site blocked),,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,https://www.facebook.com/Scubafish.TH/,No first-party numeric evidence found on site (not published or not located),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Andaman – Koh Lanta,Koh Lanta,Operator (Scuba Charter),Dive & Relax (Lanta),Koh Lanta,"223 Moo 2, Saladan, Koh Lanta 81150, Thailand",https://www.diveandrelax.com/,+66 89 050 3009,info@diveandrelax.com,,,,,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,https://www.diveandrelax.com/,No first-party numeric evidence found on site (not published or not located),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Andaman – Koh Lanta,Koh Lanta,Operator (Scuba Charter),Kon‑Tiki Lanta,Koh Lanta,,https://www.kontiki-thailand.com/,,,,,,,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,,No first-party numeric evidence found on site (not published or not located),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Andaman – Phi Phi,Koh Phi Phi,Operator (Scuba Charter),Blue View Divers (Phi Phi),Koh Phi Phi,"107 Moo 7, Phi Phi Island, Ao Nang, Amphur Muang, Krabi 81210, Thailand",https://blueviewdivers.com/,+66 92 512 5584,blueviewdivers@gmail.com,https://www.tripadvisor.co.uk/Attraction_Review-g303908-d1091269-Reviews-Blue_View_Divers-Ko_Phi_Phi_Don_Ao_Nang_Krabi_Province.html,Pending (site blocked),Pending (site blocked),5/5,https://www.blueviewdivers.com/,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,https://www.blueviewdivers.com/contact/,Numeric present (first-party claim),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Andaman – Phi Phi,Koh Phi Phi,Operator (Scuba Charter),Moskito Diving (Phi Phi),Koh Phi Phi,,https://moskitodiving.com/,,,,,,,,Status unclear / possibly closed (per FB),Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,https://m.facebook.com/Moskito.diving/mentions/,No first-party numeric evidence found on site,Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Andaman – Phi Phi,Koh Phi Phi,Operator (Scuba Charter),Island Divers (Phi Phi),Koh Phi Phi,,https://www.islanddiverspp.com/,,,,,,,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,,No first-party numeric evidence found on site,Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Andaman – Phi Phi,Koh Phi Phi,Operator (Scuba Charter),Phi Phi Scuba Diving Center,Koh Phi Phi,,https://phiphiscuba.com/,,,,,,,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,,No first-party numeric evidence found on site (not published or not located),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Eastern Gulf – Pattaya/Jomtien,Pattaya,Dive Shop,Seafari Dive Center (Pattaya),Pattaya,"262 Mike Shopping Mall, Pattaya 2nd Road, Nong Prue, Bang Lamung, Chonburi 20150, Thailand",https://www.seafari.co.th/,+66 81 762 4187; +66 90 256 5174,diving@seafari.co.th,,,,,https://seafari.co.th/contact-us/,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,https://seafari.co.th/contact-us/,No numeric published on site (Google mentioned/badge),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Eastern Gulf – Pattaya/Jomtien,Pattaya,Dive Shop,Mermaids Dive Center (Pattaya),Pattaya,"315/166-167 Moo 12, Thappraya Road, Jomtien Beach, Pattaya 20150, Thailand",https://www.mermaidsdivecenter.com/,+66 38 303 333,dive@mermaidsdivecenter.com,,,,,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,https://www.mermaidsdivecenter.com/,No first-party numeric evidence found on site,Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Eastern Gulf – Pattaya/Jomtien,Pattaya,Dive Shop,Aquanauts Dive Centre (Pattaya),Pattaya,,https://aquanautsdive.com/,,,,,,,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,,No first-party numeric evidence found on site (not published or not located),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Eastern Gulf – Pattaya/Jomtien,Pattaya,Dive Shop,Pattaya Dive Centre,Pattaya,,https://www.pattayadivecentre.com/,,,,,,,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,,No first-party numeric evidence found on site (not published or not located),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Eastern Gulf – Pattaya/Jomtien,Jomtien,Dive Shop,Jomtien Dive Center,Jomtien,,https://jomtiendivecenter.com/,,,,,,,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,,No first-party numeric evidence found on site (not published or not located),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Gulf of Thailand – Samui/Phangan,Koh Samui,Operator (Scuba Charter),The Dive Academy (Samui),Koh Samui,"157/15 Moo 1, Bophut, Koh Samui, Surat Thani 84320, Thailand",https://www.thediveacademysamui.com/,+66 92 464 3264,info@thediveacademysamui.com,https://www.tripadvisor.co.uk/Attraction_Review-g1179396-d1404742-Reviews-The_Dive_Academy_Samui-Bophut_Ko_Samui_Surat_Thani_Province.html,Pending (site blocked),Pending (site blocked),,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,https://thediveacademysamui.com/contact/,No first-party numeric evidence found on site,Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Gulf of Thailand – Samui/Phangan,Koh Samui,Operator (Scuba Charter),Discovery Divers (Samui),Koh Samui,"14/3 Moo 2, Bophut (Chaweng Beach), Koh Samui 84320, Thailand",https://discoverydivers.com/,+66 95 271 0017; +66 84 056 6345,info@discoverydivers.com,,,,,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,https://discoverydivers.com/contact-us/,No first-party numeric evidence found on site,Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Gulf of Thailand – Samui/Phangan,Koh Samui,Operator (Scuba Charter),100 Degrees East (Samui),Koh Samui,,https://100degreeseast.com/,,,https://www.tripadvisor.co.uk/Attraction_Review-g1179396-d1731561-Reviews-100_Degrees_East_Diving_Centre-Bophut_Ko_Samui_Surat_Thani_Province.html,Pending (site blocked),Pending (site blocked),,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,,No first-party numeric evidence found on site (not published or not located),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Gulf of Thailand – Samui/Phangan,Koh Phangan,Operator (Scuba Charter),Sail Rock Divers (Phangan),Koh Phangan,"15 Moo 7, Chaloklum, Koh Phangan 84280, Thailand",https://www.sailrockdivers.com/,+66 80 885 7268,sailrockphangan@gmail.com,,,,,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,https://sailrockdiversresort.com/contact/,No first-party numeric evidence found on site,Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Gulf of Thailand – Samui/Phangan,Koh Phangan,Operator (Scuba Charter),Haad Yao Divers (Phangan),Koh Phangan,"84/31 Moo 8, Koh Phangan, Surat Thani 84280, Thailand",https://www.haadyaodivers.com/,+66 84 841 2102; +66 83 135 6261,contact@haadyaodivers.com,,,,,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,https://haadyaodivers.com/,No first-party numeric evidence found on site,Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Gulf of Thailand – Samui/Phangan,Koh Phangan,Operator (Scuba Charter),Chaloklum Diving (Phangan),Koh Phangan,,https://www.chaloklum-diving.com/,,,,,,,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,,No first-party numeric evidence found on site (not published or not located),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Liveaboards – Thailand (Similan/Andaman),Khao Lak/Phuket,Liveaboard,The Smiling Seahorse (Liveaboard),Khao Lak/Phuket,,https://thesmilingseahorse.com/,,,,,,,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,,No first-party numeric evidence found on site (not published or not located),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Liveaboards – Thailand (Similan/Andaman),Khao Lak/Phuket,Liveaboard,Deep Andaman Queen (Liveaboard),Khao Lak/Phuket,,https://www.deepandamanqueen.com/,,,,,,,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,,No first-party numeric evidence found on site (not published or not located),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Liveaboards – Thailand (Similan/Andaman),Khao Lak/Phuket,Liveaboard,The Junk & The Phinisi (Junk Liveaboards),Khao Lak/Phuket,,https://www.junkliveaboards.com/,,,,,,,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,,No first-party numeric evidence found on site (not published or not located),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Liveaboards – Thailand (Similan/Andaman),Khao Lak/Phuket,Liveaboard,MV Giamani (Liveaboard),Khao Lak/Phuket,,https://www.giamani.com/,,,,,,,,,Thailand Wave 1 Seed (Final 4 applied),2025-08-14 03:55:40 UTC,,No first-party numeric evidence found on site (not published or not located),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Phuket,Phuket,Operator (Scuba Charter),Aloha Ocean Adventures / Aloha Diving,Phuket,"87/18 Moo 2, T. Rawai, A. Muang, Phuket 83130, Thailand",https://alohadiving.com/,+66 97 924 3483,info@alohadiving.com,https://www.tripadvisor.ie/ShowUserReviews-g293920-d17597673-r1002081892-Premium_Guided_Scuba_Diving_Day_Trip_for_Certified_Divers-Phuket.html,Pending (site blocked),Pending (site blocked),,,,Thailand Wave 2 Add (Final 4 applied),2025-08-14 04:01:52 UTC,https://alohadiving.com/contact/,No first-party numeric evidence found on site (not published or not located),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Phuket,Phuket,Operator (Scuba Charter),Siam Diving Enterprises (SDE),Phuket,,https://www.siamdivingenterprises.com/,,,,,,,,,Thailand Wave 2 Add (Final 4 applied),2025-08-14 04:01:52 UTC,,No first-party numeric evidence found on site (not published or not located),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Phuket,Phuket,Operator (Scuba Charter),South Siam Divers (dayboats),Phuket,"459/1 The Best Villa, Patak Rd., Moo 3, Karon, Phuket 83100, Thailand",https://www.southsiam.com/,+66 76 286 016,info@southsiamdivers.com,https://en.tripadvisor.com.hk/Attraction_Review-g1215780-d1950084-Reviews-South_Siam_Divers-Karon_Phuket.html,Pending (site blocked),Pending (site blocked),,,,Thailand Wave 2 Add (Final 4 applied),2025-08-14 04:01:52 UTC,https://www.padi.com/dive-center/thailand/south-siam-divers/,No first-party numeric evidence found on site (not published or not located),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Phuket,Phuket,Operator (Scuba Charter),Andaman Scuba,Phuket,"69/3 Moo 5, Petkasem Rd., Bang Niang Beach, Khao Lak 82220, Thailand",https://andaman-scuba.com/,+66 88 444 6224,info@andamanscuba.com,,,,,,,Thailand Wave 2 Add (Final 4 applied),2025-08-14 04:01:52 UTC,https://andamanscuba.com/en/contact/,No first-party numeric evidence found on site (not published or not located),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Phuket,Phuket,Dive Shop,Phuket Scuba Club,Phuket,,https://www.phuketscubaclub.com/,,,,,,,,,Thailand Wave 2 Add (Final 4 applied),2025-08-14 04:01:52 UTC,,No first-party numeric evidence found on site (not published or not located),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
Thailand,Phuket,Phuket,Dive Shop,Merlin Divers,Phuket,"74/3 Moo 3, Rim Had Rd., Kamala, Phuket 83150, Thailand",https://www.merlindivers.com/,+66 76 385 518,info@phuket-diving-thailand.net,https://www.tripadvisor.co.nz/Attraction_Review-g1379324-d1885417-Reviews-Merlin_Divers_Kamala_Diving_Center-Kamala_Kathu_Phuket.html,Pending (site blocked),Pending (site blocked),,,,Thailand Wave 2 Add (Final 4 applied),2025-08-14 04:01:52 UTC,https://www.phuket-diving-thailand.net/contact-merlin-divers-phuket/,No first-party numeric evidence found on site (not published or not located),Complete (Address + Phone + Email),2025-08-14 06:20:04 UTC
