,country,state_territory,region,city_area,shop_name,website,email,address,explicitly_states_scuba,meets_final4,source_urls,google_reviews_link,google_maps_url,google_rating,google_reviews_count,tripadvisor_url,tripadvisor_rating,tripadvisor_reviews_count,last_review_check_utc
8,Australia,Western Australia,Perth Metro & Fremantle (incl. Sunset Coast),Balcatta (Perth),Diving Frontiers,https://www.divingfrontiers.com.au/,mail@divingfrontiers.com.au,"Unit 7, 89 Erindale Road, Balcatta WA 6021, Australia",True,True,https://www.divingfrontiers.com.au/contact-us.htm | https://www.divessi.com/en/divecenter/diving-frontiers-wwwdivingfrontierscomau-balcatta-wa-washington-australia-731519,https://www.google.com/maps/search/?api=1&query=Diving%20Frontiers%20Balcatta%20WA%20Australia,https://www.google.com/maps/search/?api=1&query=Diving%20Frontiers%20Balcatta%20WA%20Australia,,,https://www.tripadvisor.com.au/Attraction_Review-g488370-d12826687-Reviews-Diving_Frontiers-Ocean_Reef_Joondalup_Greater_Perth_Western_Australia.html,,,2025-08-17T21:48:50Z
9,Australia,Western Australia,Perth Metro & Fremantle (incl. Sunset Coast),Canning Vale (Perth),Perth Scuba,https://perthscuba.com/,info@perthscuba.com,"Unit 4/180 Bannister Road, Canning Vale WA 6155, Australia",True,True,https://perthscuba.com/pages/contact-us | https://www.padi.com/dive-center/australia/perth-scuba/,https://www.google.com/maps/search/?api=1&query=Perth%20Scuba%20Canning%20Vale%20WA%20Australia,https://www.google.com/maps/search/?api=1&query=Perth%20Scuba%20Canning%20Vale%20WA%20Australia,,,https://www.tripadvisor.com.au/Attraction_Review-g7148035-d5775336-Reviews-Perth_Scuba-Canning_Vale_Canning_Greater_Perth_Western_Australia.html,,,2025-08-17T21:48:50Z
10,Australia,Western Australia,Perth Metro & Fremantle (incl. Sunset Coast),Fremantle,Bucket List Diver (Fremantle),https://www.bucketlistdiver.com/,info@bucketlistdiver.com,"21 Beach Street, Fremantle WA 6160, Australia",True,True,https://www.bucketlistdiver.com/contact/ | https://www.padi.com/dive-center/australia/bucket-list-diver/,https://www.google.com/maps/search/?api=1&query=Bucket%20List%20Diver%20Fremantle%20WA%20Australia,https://www.google.com/maps/search/?api=1&query=Bucket%20List%20Diver%20Fremantle%20WA%20Australia,,,https://www.tripadvisor.com.au/Attraction_Review-g285726-d12259947-Reviews-Bucket_List_Diver-Fremantle_Greater_Perth_Western_Australia.html,,,2025-08-17T21:48:50Z
11,Australia,Western Australia,Perth Metro & Fremantle (incl. Sunset Coast),Fremantle Fishing Boat Harbour,Blue Destiny Boat Charters (Dive & Snorkel),https://bluedestiny.com.au/,info@bluedestiny.com.au,"Fremantle Fishing Boat Harbour, Fremantle WA 6160, Australia",True,True,https://bluedestiny.com.au/ | https://bluedestiny.com.au/contact | https://www.tripadvisor.com/Attraction_Review-g285726-d11743215-Reviews-Blue_Destiny_Boat_Charters-Fremantle_Greater_Perth_Western_Australia.html,https://www.google.com/maps/search/?api=1&query=Blue%20Destiny%20Boat%20Charters%20Fremantle%20WA%20Australia,https://www.google.com/maps/search/?api=1&query=Blue%20Destiny%20Boat%20Charters%20Fremantle%20WA%20Australia,,,https://www.tripadvisor.com.au/Attraction_Review-g285726-d11743215-Reviews-Blue_Destiny_Boat_Charters-Fremantle_Greater_Perth_Western_Australia.html,,,2025-08-17T21:48:50Z
12,Australia,Western Australia,Perth Metro & Fremantle (incl. Sunset Coast),Hillarys (Sunset Coast),Perth Diving Academy (Hillarys),https://www.perthdiving.com.au/,hillarys@perthdiving.com.au,"1 Northside Drive, Hillarys WA 6025, Australia",True,True,https://www.perthdiving.com.au/service-page/deep-40-speciality-1 | https://www.waze.com/live-map/directions/au/wa/hillarys/perth-diving-academy-hillarys,https://www.google.com/maps/search/?api=1&query=Perth%20Diving%20Academy%20Hillarys%20WA%20Australia,https://www.google.com/maps/search/?api=1&query=Perth%20Diving%20Academy%20Hillarys%20WA%20Australia,,,https://www.tripadvisor.com.au/Attraction_Review-g285726-d9709654-Reviews-Perth_Diving_Academy-Fremantle_Greater_Perth_Western_Australia.html,,,2025-08-17T21:48:50Z
13,Australia,Western Australia,Perth Metro & Fremantle (incl. Sunset Coast),Welshpool (Perth),Dolphin Scuba Diving,https://www.dolphinscuba.com.au/,dolphin@dolphinscuba.com.au,"Shop 3, 129 Welshpool Road, Welshpool WA 6106, Australia",True,True,https://www.dolphinscuba.com.au/message-us/ | https://www.dolphinscuba.com.au/about/,https://www.google.com/maps/search/?api=1&query=Dolphin%20Scuba%20Diving%20Welshpool%20WA%20Australia,,,,,,,2025-08-17T21:36:05Z
14,Australia,Western Australia,Pilbara – Karratha & Dampier (Dampier Archipelago),Karratha / Pegs Creek,Pilbara Dive and Tours,https://www.pilbaradiveandtours.com.au/,office@pilbaradive.com.au,"Jennifer Court, Pegs Creek WA 6714, Australia",True,True,https://www.pilbaradiveandtours.com.au/ | https://destinationpilbara.com.au/features/tours/pilbara-dive-tours | https://www.australiasnorthwest.com/listing/pilbara-dive-and-tours/290/,https://www.google.com/maps/search/?api=1&query=Pilbara%20Dive%20and%20Tours%20Pegs%20Creek%20WA%20Australia,https://www.google.com/maps/search/?api=1&query=Pilbara%20Dive%20and%20Tours%20Pegs%20Creek%20WA%20Australia,,,https://www.tripadvisor.com.au/Attraction_Review-g261594-d12989180-Reviews-Pilbara_Dive_and_Tours-Karratha_The_Pilbara_Western_Australia.html,,,2025-08-17T21:48:50Z
15,Australia,Western Australia,South West – Bunbury,East Bunbury,Coastal Water Dive (Bunbury),https://www.coastalwaterdive.com.au/,info@coastalwaterdive.com.au,"6 Mummery Crescent, East Bunbury WA 6230, Australia",True,True,https://www.coastalwaterdive.com.au/,https://www.google.com/maps/search/?api=1&query=Coastal%20Water%20Dive%20East%20Bunbury%20WA%20Australia,,,,https://www.tripadvisor.com/Search?q=Coastal%20Water%20Dive%20Bunbury%20WA%20Australia,,,2025-08-17T21:36:05Z
16,Australia,Western Australia,South West – Bunbury/Australind,Australind (Bunbury),Bunbury Dive,https://www.padi.com/dive-center/australia/bunbury-dive/,dive@wacruises.com.au,"8 Old Coast Road, Australind WA 6233, Australia",True,True,https://www.padi.com/dive-center/australia/bunbury-dive/,https://www.google.com/maps/search/?api=1&query=Bunbury%20Dive%20Australind%20WA%20Australia,,,,https://www.tripadvisor.com/Search?q=Bunbury%20Dive%20Australind%20WA%20Australia,,,2025-08-17T21:36:05Z
17,Australia,Western Australia,South West – Busselton & Dunsborough,Busselton Foreshore,Swan Dive (Busselton & Dunsborough),https://swandive.com.au/,info@swandive.com.au,"Busselton Foreshore, Geographe Bay Road, Busselton WA 6280, Australia",True,True,https://swandive.com.au/ | https://swandive.com.au/contact/,https://www.google.com/maps/search/?api=1&query=Swan%20Dive%20Busselton%20Foreshore%20WA%20Australia,https://www.google.com/maps/search/?api=1&query=Swan%20Dive%20Busselton%20Foreshore%20WA%20Australia,,,https://www.tripadvisor.com.au/Attraction_Review-g261672-d23450636-Reviews-Swan_Dive_Busselton-Busselton_Margaret_River_Region_Western_Australia.html,,,2025-08-17T21:48:50Z
